sensordatavalues__id,sensordatavalues__value_type,sensordatavalues__value,sampling_rate,timestamp,location__latitude,location__longitude,location__id,location__country,location__altitude,id,sensor__pin,sensor__sensor_type__name,sensor__sensor_type__manufacturer,sensor__sensor_type__id,sensor__id
5128718783,P1,7.87,null,12/1/2018 12:28,49.742,6.114,6444,LU,225.5,2411053035,1,SDS011,Nova Fitness,14,12760
5128718785,P2,2.53,,,,,,,,,,,,,
5128718840,humidity,99.9,null,12/1/2018 12:28,49.742,6.114,6444,LU,225.5,2411053062,7,DHT22,various,9,12761
5128718839,temperature,8.5,,,,,,,,,,,,,
5128719264,P1,35.57,null,12/1/2018 12:28,49.542,6.198,6626,LU,265.7,2411053267,1,SDS011,Nova Fitness,14,13120
5128719266,P2,32.7,,,,,,,,,,,,,
5128719354,humidity,99.9,null,12/1/2018 12:28,49.542,6.198,6626,LU,265.7,2411053309,7,DHT22,various,9,13121
5128719352,temperature,9.1,,,,,,,,,,,,,
5128719802,P1,10.73,null,12/1/2018 12:29,49.826,6.004,7208,LU,361.3,2411053523,1,SDS011,Nova Fitness,14,14247
5128719804,P2,4.77,,,,,,,,,,,,,
5128719883,humidity,99.9,null,12/1/2018 12:29,49.826,6.004,7208,LU,361.3,2411053559,7,DHT22,various,9,14248
5128719882,temperature,7,,,,,,,,,,,,,
5128721506,P1,7.43,null,12/1/2018 12:29,49.81,6.418,6121,LU,165.9,2411054319,1,SDS011,Nova Fitness,14,12114
5128721508,P2,2.9,,,,,,,,,,,,,
5128721568,humidity,99.9,null,12/1/2018 12:29,49.81,6.418,6121,LU,165.9,2411054348,7,DHT22,various,9,12115
5128721566,temperature,12,,,,,,,,,,,,,
5128722064,humidity,99.9,null,12/1/2018 12:29,49.602,6.116,5461,LU,272.2,2411054579,7,DHT22,various,9,10818
5128722033,temperature,8.8,,,,,,,,,,,,,
5128724493,P1,5.43,null,12/1/2018 12:29,49.586,6.362,6063,LU,175.8,2411055736,1,SDS011,Nova Fitness,14,12008
5128724494,P2,2.63,,,,,,,,,,,,,
5128724572,humidity,99.9,null,12/1/2018 12:29,49.586,6.362,6063,LU,175.8,2411055772,7,DHT22,various,9,12009
5128724571,temperature,9,,,,,,,,,,,,,
5128726002,P1,6.03,null,12/1/2018 12:30,49.758,6.12,6523,LU,241.1,2411056461,1,SDS011,Nova Fitness,14,12910
5128726003,P2,2.5,,,,,,,,,,,,,
5128726095,humidity,99.9,null,12/1/2018 12:30,49.758,6.12,6523,LU,241.1,2411056505,7,DHT22,various,9,12911
5128726093,temperature,8.3,,,,,,,,,,,,,
5128727885,P1,8,null,12/1/2018 12:30,49.744,6.082,9298,LU,225.6,2411057366,1,SDS011,Nova Fitness,14,18342
5128727888,P2,2.57,,,,,,,,,,,,,
5128728043,humidity,99.3,null,12/1/2018 12:30,49.744,6.082,9298,LU,225.6,2411057440,7,DHT22,various,9,18343
5128728041,temperature,8.8,,,,,,,,,,,,,
5128728147,P1,3.1,null,12/1/2018 12:30,49.758,6.12,4031,LU,240.6,2411057488,1,SDS011,Nova Fitness,14,7971
5128728148,P2,1.87,,,,,,,,,,,,,
5128728568,humidity,99.9,null,12/1/2018 12:30,49.758,6.12,4031,LU,240.6,2411057687,7,DHT22,various,9,7972
5128728563,temperature,8.9,,,,,,,,,,,,,
5128729007,P1,7.77,null,12/1/2018 12:30,49.592,6.14,4740,LU,287.7,2411057893,1,SDS011,Nova Fitness,14,9400
5128729014,P2,3.63,,,,,,,,,,,,,
5128729492,humidity,90.8,null,12/1/2018 12:30,49.592,6.14,4740,LU,287.7,2411058120,7,DHT22,various,9,9401
5128729487,temperature,8.4,,,,,,,,,,,,,
5128732805,P1,9.02,null,12/1/2018 12:30,49.752,6.094,6994,LU,231.8,2411059694,1,SDS011,Nova Fitness,14,13847
5128732806,P2,5.93,,,,,,,,,,,,,
5128732882,humidity,93.3,null,12/1/2018 12:30,49.752,6.094,6994,LU,231.8,2411059730,7,DHT22,various,9,13848
5128732881,temperature,11.3,,,,,,,,,,,,,
5128733236,P1,9.87,null,12/1/2018 12:30,49.752,6.1,6622,LU,240.9,2411059901,1,SDS011,Nova Fitness,14,13112
5128733237,P2,2.17,,,,,,,,,,,,,
5128733335,humidity,99.9,null,12/1/2018 12:30,49.752,6.1,6622,LU,240.9,2411059947,7,DHT22,various,9,13113
5128733334,temperature,8.8,,,,,,,,,,,,,
5128734403,P1,1.95,null,12/1/2018 12:30,49.858,6.114,8468,LU,201.1,2411060459,1,SDS011,Nova Fitness,14,16703
5128734405,P2,1.32,,,,,,,,,,,,,
5128735665,P1,0,null,12/1/2018 12:30,49.756,6.116,6709,LU,225.2,2411061055,1,SDS011,Nova Fitness,14,13281
5128735668,P2,0,,,,,,,,,,,,,
5128735769,humidity,54.8,null,12/1/2018 12:30,49.756,6.116,6709,LU,225.2,2411061104,7,DHT22,various,9,13282
5128735768,temperature,18.9,,,,,,,,,,,,,
5128739955,P1,5.5,null,12/1/2018 12:30,49.754,6.106,6427,LU,244.1,2411063100,1,SDS011,Nova Fitness,14,12725
5128739959,P2,2.13,,,,,,,,,,,,,
5128740044,humidity,87.2,null,12/1/2018 12:30,49.754,6.106,6427,LU,244.1,2411063140,7,DHT22,various,9,12726
5128740043,temperature,9.9,,,,,,,,,,,,,
5128741094,P1,10.57,null,12/1/2018 12:31,49.746,6.094,6511,LU,229.9,2411063644,1,SDS011,Nova Fitness,14,12886
5128741095,P2,3,,,,,,,,,,,,,
5128741134,humidity,99.9,null,12/1/2018 12:31,49.746,6.094,6511,LU,229.9,2411063660,7,DHT22,various,9,12887
5128741133,temperature,8.3,,,,,,,,,,,,,
5128743295,P1,6.6,null,12/1/2018 12:31,49.742,6.114,6444,LU,225.5,2411064686,1,SDS011,Nova Fitness,14,12760
5128743297,P2,2.8,,,,,,,,,,,,,
5128743352,humidity,99.9,null,12/1/2018 12:31,49.742,6.114,6444,LU,225.5,2411064711,7,DHT22,various,9,12761
5128743350,temperature,8.5,,,,,,,,,,,,,
5128743973,P1,6.1,null,12/1/2018 12:31,49.57,6.06,6414,LU,328.9,2411065007,1,SDS011,Nova Fitness,14,12699
5128743975,P2,2.33,,,,,,,,,,,,,
5128744034,humidity,99.9,null,12/1/2018 12:31,49.57,6.06,6414,LU,328.9,2411065040,7,DHT22,various,9,12700
5128744033,temperature,8,,,,,,,,,,,,,
5128744463,P1,5.6,null,12/1/2018 12:31,49.826,6.004,7208,LU,361.3,2411065246,1,SDS011,Nova Fitness,14,14247
5128744467,P2,4.2,,,,,,,,,,,,,
5128744553,humidity,99.9,null,12/1/2018 12:31,49.826,6.004,7208,LU,361.3,2411065287,7,DHT22,various,9,14248
5128744552,temperature,7.1,,,,,,,,,,,,,
5128745529,humidity,99.9,null,12/1/2018 12:31,49.542,6.198,6626,LU,265.7,2411065743,7,DHT22,various,9,13121
5128745527,temperature,9.1,,,,,,,,,,,,,
5128746518,humidity,99.9,null,12/1/2018 12:31,49.602,6.116,5461,LU,272.2,2411066212,7,DHT22,various,9,10818
5128746517,temperature,8.9,,,,,,,,,,,,,
5128746663,humidity,99.9,null,12/1/2018 12:31,49.81,6.418,6121,LU,165.9,2411066282,7,DHT22,various,9,12115
5128746660,temperature,11.8,,,,,,,,,,,,,
5128748041,P1,5.1,null,12/1/2018 12:32,49.756,6.128,6728,LU,303.6,2411066933,1,SDS011,Nova Fitness,14,13317
5128748039,P2,2.4,,,,,,,,,,,,,
5128748080,humidity,89.1,null,12/1/2018 12:32,49.756,6.128,6728,LU,303.6,2411066952,11,BME280,Bosch,17,13318
5128748070,pressure,0,,,,,,,,,,,,,
5128748076,temperature,8.7,,,,,,,,,,,,,
,pressure_at_sealevel,0,,,,,,,,,,,,,
5128749090,P1,3.9,null,12/1/2018 12:32,49.586,6.362,6063,LU,175.8,2411067432,1,SDS011,Nova Fitness,14,12008
5128749091,P2,2.1,,,,,,,,,,,,,
