location__country,location__longitude,location__altitude,location__latitude,location__id,sensordatavalues__value_type,sensordatavalues__value,sensordatavalues__id,id,sampling_rate,sensor__sensor_type__manufacturer,sensor__sensor_type__name,sensor__sensor_type__id,sensor__id,sensor__pin,timestamp
LU,6.14,287.7,49.592,4740,P1,3.83,5144904453,2418752415,null,Nova Fitness,SDS011,14,9400,1,12/2/2018 15:51
,,,,,P2,2.47,5144904456,,,,,,,,
LU,6.14,287.7,49.592,4740,humidity,99.9,5144904649,2418752507,null,various,DHT22,9,9401,7,12/2/2018 15:51
,,,,,temperature,12.7,5144904647,,,,,,,,
LU,6.114,201.1,49.858,8468,P1,0.3,5144905957,2418753137,null,Nova Fitness,SDS011,14,16703,1,12/2/2018 15:51
,,,,,P2,0.3,5144905958,,,,,,,,
LU,6.116,225.2,49.756,6709,P1,0,5144907995,2418754093,null,Nova Fitness,SDS011,14,13281,1,12/2/2018 15:51
,,,,,P2,0,5144907996,,,,,,,,
LU,6.116,225.2,49.756,6709,humidity,57.5,5144908073,2418754131,null,various,DHT22,9,13282,7,12/2/2018 15:51
,,,,,temperature,18.5,5144908072,,,,,,,,
LU,6.114,225.5,49.742,6444,P1,2.45,5144908338,2418754259,null,Nova Fitness,SDS011,14,12760,1,12/2/2018 15:51
,,,,,P2,2.25,5144908339,,,,,,,,
LU,6.114,225.5,49.742,6444,humidity,99.9,5144908393,2418754285,null,various,DHT22,9,12761,7,12/2/2018 15:51
,,,,,temperature,13.1,5144908390,,,,,,,,
LU,6.004,361.3,49.826,7208,P1,3,5144909302,2418754717,null,Nova Fitness,SDS011,14,14247,1,12/2/2018 15:51
,,,,,P2,2.7,5144909303,,,,,,,,
LU,6.004,361.3,49.826,7208,humidity,99.9,5144909402,2418754764,null,various,DHT22,9,14248,7,12/2/2018 15:51
,,,,,temperature,12.4,5144909401,,,,,,,,
LU,6.106,244.1,49.754,6427,P1,0.63,5144909908,2418755008,null,Nova Fitness,SDS011,14,12725,1,12/2/2018 15:51
,,,,,P2,0.63,5144909909,,,,,,,,
LU,6.106,244.1,49.754,6427,humidity,95.2,5144909940,2418755023,null,various,DHT22,9,12726,7,12/2/2018 15:51
,,,,,temperature,14.7,5144909939,,,,,,,,
LU,6.094,231.8,49.752,6994,P1,1.62,5144911316,2418755671,null,Nova Fitness,SDS011,14,13847,1,12/2/2018 15:51
,,,,,P2,0.6,5144911317,,,,,,,,
LU,6.094,231.8,49.752,6994,humidity,99.9,5144911345,2418755685,null,various,DHT22,9,13848,7,12/2/2018 15:51
,,,,,temperature,14.2,5144911344,,,,,,,,
LU,6.12,241.1,49.758,6523,P1,1.2,5144911778,2418755892,null,Nova Fitness,SDS011,14,12910,1,12/2/2018 15:51
,,,,,P2,1.1,5144911779,,,,,,,,
