"timestamp","sensor__id","sensor__pin","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","location__id","location__country","location__latitude","location__longitude","location__altitude","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sampling_rate","id"
"2018-12-03 13:10:05","18971","1","SDS011","14","Nova Fitness","9620","LU","49.7440","6.0960","231.9","3.67","P1","5157060294","null","2424531417"
"","","","","","","","","","","","1.57","P2","5157060296","",""
"2018-12-03 13:10:05","18972","7","DHT22","9","various","9620","LU","49.7440","6.0960","231.9","95.00","humidity","5157060315","null","2424531425"
"","","","","","","","","","","","12.60","temperature","5157060313","",""
"2018-12-03 13:10:14","12114","1","SDS011","14","Nova Fitness","6121","LU","49.8100","6.4180","165.9","3.50","P1","5157062341","null","2424532391"
"","","","","","","","","","","","2.37","P2","5157062342","",""
"2018-12-03 13:10:15","12115","7","DHT22","9","various","6121","LU","49.8100","6.4180","165.9","99.90","humidity","5157062591","null","2424532512"
"","","","","","","","","","","","13.50","temperature","5157062590","",""
"2018-12-03 13:10:25","13847","1","SDS011","14","Nova Fitness","6994","LU","49.7520","6.0940","231.8","1.95","P1","5157064066","null","2424533211"
"","","","","","","","","","","","1.05","P2","5157064067","",""
"2018-12-03 13:10:25","13848","7","DHT22","9","various","6994","LU","49.7520","6.0940","231.8","99.90","humidity","5157064102","null","2424533228"
"","","","","","","","","","","","13.10","temperature","5157064101","",""
"2018-12-03 13:10:39","10818","7","DHT22","9","various","5461","LU","49.6020","6.1160","272.2","99.90","humidity","5157066360","null","2424534301"
"","","","","","","","","","","","12.40","temperature","5157066359","",""
"2018-12-03 13:10:44","12760","1","SDS011","14","Nova Fitness","6444","LU","49.7420","6.1140","225.5","4.37","P1","5157067007","null","2424534610"
"","","","","","","","","","","","1.45","P2","5157067008","",""
"2018-12-03 13:10:45","12761","7","DHT22","9","various","6444","LU","49.7420","6.1140","225.5","99.90","humidity","5157067058","null","2424534634"
"","","","","","","","","","","","12.30","temperature","5157067057","",""
"2018-12-03 13:10:51","12725","1","SDS011","14","Nova Fitness","6427","LU","49.7540","6.1060","244.1","1.73","P1","5157068169","null","2424535159"
"","","","","","","","","","","","1.07","P2","5157068170","",""
"2018-12-03 13:10:52","12726","7","DHT22","9","various","6427","LU","49.7540","6.1060","244.1","93.90","humidity","5157068242","null","2424535196"
"","","","","","","","","","","","13.90","temperature","5157068240","",""
