"location__id","location__country","location__latitude","location__altitude","location__longitude","id","sensor__id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sampling_rate"
"6063","LU","49.5860","175.8","6.3620","2430505853","12008","SDS011","14","Nova Fitness","1","2018-12-04 11:59:53","P1","5169637617","3.47","null"
"","","","","","","","","","","","","P2","5169637618","2.80",""
"6063","LU","49.5860","175.8","6.3620","2430505878","12009","DHT22","9","various","7","2018-12-04 11:59:53","humidity","5169637668","99.90","null"
"","","","","","","","","","","","","temperature","5169637666","10.20",""
"4740","LU","49.5920","287.7","6.1400","2430506816","9400","SDS011","14","Nova Fitness","1","2018-12-04 12:00:07","P1","5169639646","4.40","null"
"","","","","","","","","","","","","P2","5169639649","4.00",""
"4740","LU","49.5920","287.7","6.1400","2430506900","9401","DHT22","9","various","7","2018-12-04 12:00:08","humidity","5169639820","70.10","null"
"","","","","","","","","","","","","temperature","5169639819","9.20",""
"6511","LU","49.7460","229.9","6.0940","2430508902","12886","SDS011","14","Nova Fitness","1","2018-12-04 12:00:29","P1","5169644024","5.55","null"
"","","","","","","","","","","","","P2","5169644026","1.60",""
"6511","LU","49.7460","229.9","6.0940","2430508934","12887","DHT22","9","various","7","2018-12-04 12:00:30","humidity","5169644095","99.90","null"
"","","","","","","","","","","","","temperature","5169644091","16.80",""
"6427","LU","49.7540","244.1","6.1060","2430508936","12725","SDS011","14","Nova Fitness","1","2018-12-04 12:00:30","P1","5169644090","3.37","null"
"","","","","","","","","","","","","P2","5169644097","1.30",""
"6427","LU","49.7540","244.1","6.1060","2430508955","12726","DHT22","9","various","7","2018-12-04 12:00:30","humidity","5169644135","72.80","null"
"","","","","","","","","","","","","temperature","5169644134","10.40",""
"7208","LU","49.8260","361.3","6.0040","2430508990","14247","SDS011","14","Nova Fitness","1","2018-12-04 12:00:31","P1","5169644204","2.63","null"
"","","","","","","","","","","","","P2","5169644207","1.50",""
"7208","LU","49.8260","361.3","6.0040","2430509016","14248","DHT22","9","various","7","2018-12-04 12:00:31","humidity","5169644259","99.90","null"
"","","","","","","","","","","","","temperature","5169644258","9.80",""
"6414","LU","49.5700","328.9","6.0600","2430509802","12699","SDS011","14","Nova Fitness","1","2018-12-04 12:00:42","P1","5169645908","6.77","null"
"","","","","","","","","","","","","P2","5169645910","3.53",""
"6414","LU","49.5700","328.9","6.0600","2430509834","12700","DHT22","9","various","7","2018-12-04 12:00:42","humidity","5169645976","99.90","null"
"","","","","","","","","","","","","temperature","5169645975","7.90",""
"6622","LU","49.7520","240.9","6.1000","2430510517","13112","SDS011","14","Nova Fitness","1","2018-12-04 12:00:51","P1","5169647412","3.97","null"
"","","","","","","","","","","","","P2","5169647415","1.33",""
"6622","LU","49.7520","240.9","6.1000","2430510535","13113","DHT22","9","various","7","2018-12-04 12:00:51","humidity","5169647456","99.90","null"
"","","","","","","","","","","","","temperature","5169647455","8.80",""
"9620","LU","49.7440","231.9","6.0960","2430510573","18971","SDS011","14","Nova Fitness","1","2018-12-04 12:00:52","P1","5169647538","5.50","null"
"","","","","","","","","","","","","P2","5169647544","2.03",""
"9620","LU","49.7440","231.9","6.0960","2430510609","18972","DHT22","9","various","7","2018-12-04 12:00:52","humidity","5169647610","78.00","null"
"","","","","","","","","","","","","temperature","5169647609","8.90",""
"6709","LU","49.7560","225.2","6.1160","2430510690","13281","SDS011","14","Nova Fitness","1","2018-12-04 12:00:53","P1","5169647779","0.00","null"
"","","","","","","","","","","","","P2","5169647780","0.00",""
"6709","LU","49.7560","225.2","6.1160","2430510709","13282","DHT22","9","various","7","2018-12-04 12:00:54","humidity","5169647821","59.90","null"
"","","","","","","","","","","","","temperature","5169647820","17.10",""
"9298","LU","49.7440","225.6","6.0820","2430511147","18342","SDS011","14","Nova Fitness","1","2018-12-04 12:01:00","P1","5169648742","4.57","null"
"","","","","","","","","","","","","P2","5169648756","1.57",""
"9298","LU","49.7440","225.6","6.0820","2430511182","18343","DHT22","9","various","7","2018-12-04 12:01:00","humidity","5169648831","90.20","null"
"","","","","","","","","","","","","temperature","5169648826","14.30",""
"6994","LU","49.7520","231.8","6.0940","2430511611","13847","SDS011","14","Nova Fitness","1","2018-12-04 12:01:05","P1","5169649726","3.30","null"
"","","","","","","","","","","","","P2","5169649727","2.40",""
"6444","LU","49.7420","225.5","6.1140","2430511624","12760","SDS011","14","Nova Fitness","1","2018-12-04 12:01:05","P1","5169649749","5.77","null"
"","","","","","","","","","","","","P2","5169649767","2.07",""
"6994","LU","49.7520","231.8","6.0940","2430511639","13848","DHT22","9","various","7","2018-12-04 12:01:06","humidity","5169649786","92.20","null"
"","","","","","","","","","","","","temperature","5169649784","11.20",""
"6444","LU","49.7420","225.5","6.1140","2430511656","12761","DHT22","9","various","7","2018-12-04 12:01:06","humidity","5169649822","99.90","null"
"","","","","","","","","","","","","temperature","5169649821","8.90",""
"6121","LU","49.8100","165.9","6.4180","2430512546","12114","SDS011","14","Nova Fitness","1","2018-12-04 12:01:19","P1","5169651686","55.93","null"
"","","","","","","","","","","","","P2","5169651687","9.20",""
"6121","LU","49.8100","165.9","6.4180","2430512606","12115","DHT22","9","various","7","2018-12-04 12:01:19","humidity","5169651808","98.70","null"
"","","","","","","","","","","","","temperature","5169651726","15.90",""
"8468","LU","49.8580","201.1","6.1140","2430514097","16703","SDS011","14","Nova Fitness","1","2018-12-04 12:01:40","P1","5169654953","0.82","null"
"","","","","","","","","","","","","P2","5169654954","0.72",""
"4031","LU","49.7580","240.6","6.1200","2430514870","7971","SDS011","14","Nova Fitness","1","2018-12-04 12:01:52","P1","5169656590","3.60","null"
"","","","","","","","","","","","","P2","5169656591","2.10",""
"4031","LU","49.7580","240.6","6.1200","2430514896","7972","DHT22","9","various","7","2018-12-04 12:01:52","humidity","5169656643","99.90","null"
"","","","","","","","","","","","","temperature","5169656642","12.00",""
"6728","LU","49.7560","303.6","6.1280","2430516015","13317","SDS011","14","Nova Fitness","1","2018-12-04 12:02:09","P1","5169658998","4.4","null"
"","","","","","","","","","","","","P2","5169658997","2.0",""
"6728","LU","49.7560","303.6","6.1280","2430516034","13318","BME280","17","Bosch","11","2018-12-04 12:02:10","humidity","5169659038","77.1","null"
"","","","","","","","","","","","","pressure","5169659036","0",""
"","","","","","","","","","","","","temperature","5169659037","8.4",""
"","","","","","","","","","","","","pressure_at_sealevel","","0",""
"5461","LU","49.6020","272.2","6.1160","2430516088","10818","DHT22","9","various","7","2018-12-04 12:02:11","humidity","5169659150","74.30","null"
"","","","","","","","","","","","","temperature","5169659149","11.90",""
"6523","LU","49.7580","241.1","6.1200","2430516574","12910","SDS011","14","Nova Fitness","1","2018-12-04 12:02:17","P1","5169660163","5.70","null"
"","","","","","","","","","","","","P2","5169660165","2.20",""
"6523","LU","49.7580","241.1","6.1200","2430516596","12911","DHT22","9","various","7","2018-12-04 12:02:17","humidity","5169660213","99.90","null"
"","","","","","","","","","","","","temperature","5169660212","10.90",""
"6063","LU","49.5860","175.8","6.3620","2430516796","12008","SDS011","14","Nova Fitness","1","2018-12-04 12:02:20","P1","5169660632","4.63","null"
"","","","","","","","","","","","","P2","5169660633","3.03",""
"6063","LU","49.5860","175.8","6.3620","2430516822","12009","DHT22","9","various","7","2018-12-04 12:02:20","humidity","5169660686","99.90","null"
"","","","","","","","","","","","","temperature","5169660685","10.70",""
"4740","LU","49.5920","287.7","6.1400","2430517812","9400","SDS011","14","Nova Fitness","1","2018-12-04 12:02:36","P1","5169662784","5.70","null"
"","","","","","","","","","","","","P2","5169662785","4.40",""
"4740","LU","49.5920","287.7","6.1400","2430517840","9401","DHT22","9","various","7","2018-12-04 12:02:36","humidity","5169662843","71.40","null"
"","","","","","","","","","","","","temperature","5169662842","9.30",""
"6511","LU","49.7460","229.9","6.0940","2430519440","12886","SDS011","14","Nova Fitness","1","2018-12-04 12:02:56","P1","5169666185","2.50","null"
"","","","","","","","","","","","","P2","5169666186","1.25",""
"6511","LU","49.7460","229.9","6.0940","2430519459","12887","DHT22","9","various","7","2018-12-04 12:02:56","humidity","5169666228","99.90","null"
"","","","","","","","","","","","","temperature","5169666227","18.00",""
"6427","LU","49.7540","244.1","6.1060","2430519527","12725","SDS011","14","Nova Fitness","1","2018-12-04 12:02:57","P1","5169666366","2.37","null"
"","","","","","","","","","","","","P2","5169666367","1.23",""
"7208","LU","49.8260","361.3","6.0040","2430519541","14247","SDS011","14","Nova Fitness","1","2018-12-04 12:02:57","P1","5169666395","3.53","null"
"","","","","","","","","","","","","P2","5169666396","1.13",""
"6427","LU","49.7540","244.1","6.1060","2430519563","12726","DHT22","9","various","7","2018-12-04 12:02:58","humidity","5169666443","72.80","null"
"","","","","","","","","","","","","temperature","5169666442","10.40",""
"7208","LU","49.8260","361.3","6.0040","2430519577","14248","DHT22","9","various","7","2018-12-04 12:02:58","humidity","5169666472","99.90","null"
"","","","","","","","","","","","","temperature","5169666470","10.20",""
"6622","LU","49.7520","240.9","6.1000","2430521436","13112","SDS011","14","Nova Fitness","1","2018-12-04 12:03:17","P1","5169670380","3.40","null"
"","","","","","","","","","","","","P2","5169670381","1.55",""
"6622","LU","49.7520","240.9","6.1000","2430521466","13113","DHT22","9","various","7","2018-12-04 12:03:18","humidity","5169670443","99.90","null"
"","","","","","","","","","","","","temperature","5169670441","9.00",""
"9620","LU","49.7440","231.9","6.0960","2430521516","18971","SDS011","14","Nova Fitness","1","2018-12-04 12:03:18","P1","5169670548","5.35","null"
"","","","","","","","","","","","","P2","5169670549","2.20",""
"9620","LU","49.7440","231.9","6.0960","2430521548","18972","DHT22","9","various","7","2018-12-04 12:03:19","humidity","5169670617","75.40","null"
"","","","","","","","","","","","","temperature","5169670616","9.00",""
"6709","LU","49.7560","225.2","6.1160","2430521613","13281","SDS011","14","Nova Fitness","1","2018-12-04 12:03:20","P1","5169670757","0.00","null"
"","","","","","","","","","","","","P2","5169670758","0.00",""
"6709","LU","49.7560","225.2","6.1160","2430521636","13282","DHT22","9","various","7","2018-12-04 12:03:20","humidity","5169670804","59.70","null"
"","","","","","","","","","","","","temperature","5169670802","17.10",""
"9298","LU","49.7440","225.6","6.0820","2430522078","18342","SDS011","14","Nova Fitness","1","2018-12-04 12:03:27","P1","5169671744","2.50","null"
"","","","","","","","","","","","","P2","5169671745","1.30",""
"6414","LU","49.5700","328.9","6.0600","2430522093","12699","SDS011","14","Nova Fitness","1","2018-12-04 12:03:27","P1","5169671776","6.87","null"
"","","","","","","","","","","","","P2","5169671777","3.87",""
"9298","LU","49.7440","225.6","6.0820","2430522108","18343","DHT22","9","various","7","2018-12-04 12:03:27","humidity","5169671809","95.10","null"
"","","","","","","","","","","","","temperature","5169671808","14.90",""
"6414","LU","49.5700","328.9","6.0600","2430522121","12700","DHT22","9","various","7","2018-12-04 12:03:27","humidity","5169671835","99.90","null"
"","","","","","","","","","","","","temperature","5169671834","7.70",""
"6994","LU","49.7520","231.8","6.0940","2430522555","13847","SDS011","14","Nova Fitness","1","2018-12-04 12:03:32","P1","5169672747","1.95","null"
"","","","","","","","","","","","","P2","5169672749","1.20",""
"6994","LU","49.7520","231.8","6.0940","2430522575","13848","DHT22","9","various","7","2018-12-04 12:03:33","humidity","5169672789","91.70","null"
"","","","","","","","","","","","","temperature","5169672788","11.30",""
"6444","LU","49.7420","225.5","6.1140","2430522576","12760","SDS011","14","Nova Fitness","1","2018-12-04 12:03:33","P1","5169672790","3.27","null"
"","","","","","","","","","","","","P2","5169672791","1.87",""
"6444","LU","49.7420","225.5","6.1140","2430522607","12761","DHT22","9","various","7","2018-12-04 12:03:33","humidity","5169672858","99.90","null"
"","","","","","","","","","","","","temperature","5169672857","9.10",""
"6121","LU","49.8100","165.9","6.4180","2430523683","12114","SDS011","14","Nova Fitness","1","2018-12-04 12:03:53","P1","5169675117","12.20","null"
"","","","","","","","","","","","","P2","5169675118","3.00",""
"6121","LU","49.8100","165.9","6.4180","2430523770","12115","DHT22","9","various","7","2018-12-04 12:03:54","humidity","5169675300","97.90","null"
"","","","","","","","","","","","","temperature","5169675299","16.40",""
"8468","LU","49.8580","201.1","6.1140","2430525195","16703","SDS011","14","Nova Fitness","1","2018-12-04 12:04:09","P1","5169678300","1.20","null"
"","","","","","","","","","","","","P2","5169678301","0.70",""
"4031","LU","49.7580","240.6","6.1200","2430525870","7971","SDS011","14","Nova Fitness","1","2018-12-04 12:04:18","P1","5169679744","2.23","null"
"","","","","","","","","","","","","P2","5169679745","1.50",""
"4031","LU","49.7580","240.6","6.1200","2430525903","7972","DHT22","9","various","7","2018-12-04 12:04:18","humidity","5169679812","99.90","null"
"","","","","","","","","","","","","temperature","5169679811","12.10",""
"5461","LU","49.6020","272.2","6.1160","2430527093","10818","DHT22","9","various","7","2018-12-04 12:04:37","humidity","5169682314","77.10","null"
"","","","","","","","","","","","","temperature","5169682313","11.90",""
