"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sampling_rate","location__latitude","location__id","location__country","location__longitude","location__altitude","sensordatavalues__value","sensordatavalues__id","sensordatavalues__value_type","timestamp","id"
"1","12910","SDS011","Nova Fitness","14","null","49.7580","6523","LU","6.1200","241.1","6.10","4794372642","P1","2018-11-07 00:03:56","2252217079"
"","","","","","","","","","","","3.03","4794372643","P2","",""
"7","12911","DHT22","various","9","null","49.7580","6523","LU","6.1200","241.1","99.90","4794372690","humidity","2018-11-07 00:03:56","2252217102"
"","","","","","","","","","","","10.00","4794372689","temperature","",""
"1","7971","SDS011","Nova Fitness","14","null","49.7580","4031","LU","6.1200","240.6","4.03","4794374993","P1","2018-11-07 00:04:14","2252218201"
"","","","","","","","","","","","3.33","4794374994","P2","",""
"7","7972","DHT22","various","9","null","49.7580","4031","LU","6.1200","240.6","99.90","4794375063","humidity","2018-11-07 00:04:14","2252218233"
"","","","","","","","","","","","9.00","4794375062","temperature","",""
"1","12725","SDS011","Nova Fitness","14","null","49.7540","6427","LU","6.1060","244.1","9.50","4794375535","P1","2018-11-07 00:04:18","2252218455"
"","","","","","","","","","","","5.70","4794375536","P2","",""
"7","12726","DHT22","various","9","null","49.7540","6427","LU","6.1060","244.1","90.00","4794375566","humidity","2018-11-07 00:04:19","2252218470"
"","","","","","","","","","","","10.80","4794375565","temperature","",""
"1","16703","SDS011","Nova Fitness","14","null","49.8580","8468","LU","6.1140","201.1","60.40","4794377659","P1","2018-11-07 00:04:34","2252219466"
"","","","","","","","","","","","20.92","4794377660","P2","",""
"1","12008","SDS011","Nova Fitness","14","null","49.5860","6063","LU","6.3620","175.8","2.90","4794377972","P1","2018-11-07 00:04:36","2252219610"
"","","","","","","","","","","","1.23","4794377974","P2","",""
"7","12009","DHT22","various","9","null","49.5860","6063","LU","6.3620","175.8","99.90","4794378079","humidity","2018-11-07 00:04:37","2252219662"
"","","","","","","","","","","","7.10","4794378078","temperature","",""
"1","12114","SDS011","Nova Fitness","14","null","49.8100","6121","LU","6.4180","165.9","24.17","4794379316","P1","2018-11-07 00:04:45","2252220248"
"","","","","","","","","","","","20.10","4794379318","P2","",""
"7","12115","DHT22","various","9","null","49.8100","6121","LU","6.4180","165.9","99.90","4794379406","humidity","2018-11-07 00:04:46","2252220290"
"","","","","","","","","","","","6.70","4794379405","temperature","",""
"1","13112","SDS011","Nova Fitness","14","null","49.7520","6622","LU","6.1000","240.9","9.87","4794380183","P1","2018-11-07 00:04:51","2252220667"
"","","","","","","","","","","","5.67","4794380184","P2","",""
"7","13113","DHT22","various","9","null","49.7520","6622","LU","6.1000","240.9","99.90","4794380252","humidity","2018-11-07 00:04:51","2252220699"
"","","","","","","","","","","","8.30","4794380251","temperature","",""
"1","12760","SDS011","Nova Fitness","14","null","49.7420","6444","LU","6.1140","225.5","12.23","4794382004","P1","2018-11-07 00:05:00","2252221536"
"","","","","","","","","","","","7.90","4794382005","P2","",""
"7","12761","DHT22","various","9","null","49.7420","6444","LU","6.1140","225.5","99.90","4794382063","humidity","2018-11-07 00:05:00","2252221564"
"","","","","","","","","","","","7.90","4794382062","temperature","",""
"1","10817","SDS011","Nova Fitness","14","null","49.6020","5461","LU","6.1160","272.2","2.10","4794387817","P1","2018-11-07 00:05:32","2252224297"
"","","","","","","","","","","","1.90","4794387818","P2","",""
"7","10818","DHT22","various","9","null","49.6020","5461","LU","6.1160","272.2","99.90","4794387983","humidity","2018-11-07 00:05:33","2252224375"
"","","","","","","","","","","","9.90","4794387982","temperature","",""
"1","12886","SDS011","Nova Fitness","14","null","49.7460","6511","LU","6.0940","229.9","8.73","4794388939","P1","2018-11-07 00:05:40","2252224824"
"","","","","","","","","","","","6.37","4794388940","P2","",""
"7","12887","DHT22","various","9","null","49.7460","6511","LU","6.0940","229.9","99.90","4794389005","humidity","2018-11-07 00:05:40","2252224855"
"","","","","","","","","","","","7.50","4794389004","temperature","",""
"1","9400","SDS011","Nova Fitness","14","null","49.5920","4740","LU","6.1400","287.7","3.17","4794390957","P1","2018-11-07 00:05:47","2252225786"
"","","","","","","","","","","","2.90","4794390958","P2","",""
"1","13847","SDS011","Nova Fitness","14","null","49.7520","6994","LU","6.0940","231.8","8.98","4794391555","P1","2018-11-07 00:05:50","2252226071"
"","","","","","","","","","","","6.87","4794391556","P2","",""
"7","13848","DHT22","various","9","null","49.7520","6994","LU","6.0940","231.8","99.90","4794391612","humidity","2018-11-07 00:05:51","2252226097"
"","","","","","","","","","","","8.70","4794391610","temperature","",""
"1","12699","SDS011","Nova Fitness","14","null","49.5700","6414","LU","6.0600","328.9","7.60","4794393316","P1","2018-11-07 00:06:01","2252226917"
"","","","","","","","","","","","3.27","4794393321","P2","",""
"7","12700","DHT22","various","9","null","49.5700","6414","LU","6.0600","328.9","99.90","4794393366","humidity","2018-11-07 00:06:02","2252226940"
"","","","","","","","","","","","8.90","4794393365","temperature","",""
"1","13281","SDS011","Nova Fitness","14","null","49.7560","6709","LU","6.1160","225.2","0.00","4794395447","P1","2018-11-07 00:06:17","2252227919"
"","","","","","","","","","","","0.00","4794395448","P2","",""
"7","13282","DHT22","various","9","null","49.7560","6709","LU","6.1160","225.2","61.70","4794395510","humidity","2018-11-07 00:06:18","2252227949"
"","","","","","","","","","","","17.00","4794395508","temperature","",""
"1","12910","SDS011","Nova Fitness","14","null","49.7580","6523","LU","6.1200","241.1","4.30","4794396201","P1","2018-11-07 00:06:23","2252228282"
"","","","","","","","","","","","3.20","4794396202","P2","",""
"7","12911","DHT22","various","9","null","49.7580","6523","LU","6.1200","241.1","99.90","4794396250","humidity","2018-11-07 00:06:23","2252228305"
"","","","","","","","","","","","9.90","4794396249","temperature","",""
"1","7971","SDS011","Nova Fitness","14","null","49.7580","4031","LU","6.1200","240.6","2.83","4794398607","P1","2018-11-07 00:06:41","2252229432"
"","","","","","","","","","","","2.63","4794398608","P2","",""
"7","7972","DHT22","various","9","null","49.7580","4031","LU","6.1200","240.6","99.90","4794398675","humidity","2018-11-07 00:06:42","2252229464"
"","","","","","","","","","","","9.00","4794398673","temperature","",""
"1","12725","SDS011","Nova Fitness","14","null","49.7540","6427","LU","6.1060","244.1","12.43","4794399303","P1","2018-11-07 00:06:47","2252229765"
"","","","","","","","","","","","6.83","4794399304","P2","",""
"7","12726","DHT22","various","9","null","49.7540","6427","LU","6.1060","244.1","90.00","4794399346","humidity","2018-11-07 00:06:47","2252229785"
"","","","","","","","","","","","10.70","4794399345","temperature","",""
"1","16703","SDS011","Nova Fitness","14","null","49.8580","8468","LU","6.1140","201.1","87.62","4794401419","P1","2018-11-07 00:07:02","2252230770"
"","","","","","","","","","","","19.50","4794401420","P2","",""
"1","12008","SDS011","Nova Fitness","14","null","49.5860","6063","LU","6.3620","175.8","2.10","4794401650","P1","2018-11-07 00:07:04","2252230879"
"","","","","","","","","","","","1.70","4794401651","P2","",""
"7","12009","DHT22","various","9","null","49.5860","6063","LU","6.3620","175.8","99.90","4794401773","humidity","2018-11-07 00:07:04","2252230935"
"","","","","","","","","","","","6.90","4794401772","temperature","",""
"1","13317","SDS011","Nova Fitness","14","null","49.7560","6728","LU","6.1280","303.6","8.2","4794402452","P1","2018-11-07 00:07:09","2252231252"
"","","","","","","","","","","","5.5","4794402450","P2","",""
"11","13318","BME280","Bosch","17","null","49.7560","6728","LU","6.1280","303.6","99.9","4794402513","humidity","2018-11-07 00:07:10","2252231279"
"","","","","","","","","","","","0","4794402508","pressure","",""
"","","","","","","","","","","","7.7","4794402510","temperature","",""
"","","","","","","","","","","","0","","pressure_at_sealevel","",""
"1","12114","SDS011","Nova Fitness","14","null","49.8100","6121","LU","6.4180","165.9","26.10","4794403020","P1","2018-11-07 00:07:13","2252231519"
"","","","","","","","","","","","21.40","4794403021","P2","",""
"7","12115","DHT22","various","9","null","49.8100","6121","LU","6.4180","165.9","99.90","4794403128","humidity","2018-11-07 00:07:14","2252231569"
"","","","","","","","","","","","6.80","4794403127","temperature","",""
"1","13112","SDS011","Nova Fitness","14","null","49.7520","6622","LU","6.1000","240.9","7.90","4794403699","P1","2018-11-07 00:07:17","2252231844"
"","","","","","","","","","","","4.83","4794403700","P2","",""
"7","13113","DHT22","various","9","null","49.7520","6622","LU","6.1000","240.9","99.90","4794403756","humidity","2018-11-07 00:07:18","2252231871"
"","","","","","","","","","","","8.20","4794403755","temperature","",""
"1","12760","SDS011","Nova Fitness","14","null","49.7420","6444","LU","6.1140","225.5","12.77","4794405542","P1","2018-11-07 00:07:26","2252232728"
"","","","","","","","","","","","9.90","4794405543","P2","",""
"7","12761","DHT22","various","9","null","49.7420","6444","LU","6.1140","225.5","99.90","4794405600","humidity","2018-11-07 00:07:27","2252232755"
"","","","","","","","","","","","7.70","4794405599","temperature","",""
"1","10817","SDS011","Nova Fitness","14","null","49.6020","5461","LU","6.1160","272.2","2.80","4794411589","P1","2018-11-07 00:08:01","2252235608"
"","","","","","","","","","","","2.17","4794411590","P2","",""
"7","10818","DHT22","various","9","null","49.6020","5461","LU","6.1160","272.2","99.90","4794411726","humidity","2018-11-07 00:08:01","2252235672"
"","","","","","","","","","","","9.90","4794411725","temperature","",""
"1","12886","SDS011","Nova Fitness","14","null","49.7460","6511","LU","6.0940","229.9","9.10","4794412461","P1","2018-11-07 00:08:06","2252236018"
"","","","","","","","","","","","5.93","4794412462","P2","",""
"7","12887","DHT22","various","9","null","49.7460","6511","LU","6.0940","229.9","99.90","4794412520","humidity","2018-11-07 00:08:07","2252236045"
"","","","","","","","","","","","7.40","4794412519","temperature","",""
"1","9400","SDS011","Nova Fitness","14","null","49.5920","4740","LU","6.1400","287.7","3.60","4794414610","P1","2018-11-07 00:08:15","2252237039"
"","","","","","","","","","","","3.30","4794414611","P2","",""
"1","13847","SDS011","Nova Fitness","14","null","49.7520","6994","LU","6.0940","231.8","7.90","4794415019","P1","2018-11-07 00:08:17","2252237235"
"","","","","","","","","","","","6.30","4794415020","P2","",""
"7","13848","DHT22","various","9","null","49.7520","6994","LU","6.0940","231.8","99.90","4794415076","humidity","2018-11-07 00:08:18","2252237261"
"","","","","","","","","","","","8.50","4794415075","temperature","",""
"1","13281","SDS011","Nova Fitness","14","null","49.7560","6709","LU","6.1160","225.2","0.00","4794418890","P1","2018-11-07 00:08:44","2252239072"
"","","","","","","","","","","","0.00","4794418891","P2","",""
"7","13282","DHT22","various","9","null","49.7560","6709","LU","6.1160","225.2","61.70","4794418932","humidity","2018-11-07 00:08:44","2252239092"
"","","","","","","","","","","","17.00","4794418931","temperature","",""
"1","12699","SDS011","Nova Fitness","14","null","49.5700","6414","LU","6.0600","328.9","6.50","4794419290","P1","2018-11-07 00:08:47","2252239265"
"","","","","","","","","","","","3.27","4794419291","P2","",""
"7","12700","DHT22","various","9","null","49.5700","6414","LU","6.0600","328.9","99.90","4794419353","humidity","2018-11-07 00:08:47","2252239294"
"","","","","","","","","","","","8.90","4794419352","temperature","",""
"1","12910","SDS011","Nova Fitness","14","null","49.7580","6523","LU","6.1200","241.1","4.07","4794419625","P1","2018-11-07 00:08:49","2252239422"
"","","","","","","","","","","","3.00","4794419626","P2","",""
"7","12911","DHT22","various","9","null","49.7580","6523","LU","6.1200","241.1","99.90","4794419675","humidity","2018-11-07 00:08:50","2252239447"
"","","","","","","","","","","","9.80","4794419674","temperature","",""
