"sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__pin","sensor__id","location__country","location__altitude","location__longitude","location__latitude","location__id","timestamp","sampling_rate","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","id"
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:00:52","null","P1","3.93","5257250342","2472105631"
"","","","","","","","","","","","","P2","2.27","5257250343",""
"DHT22","various","9","7","9401","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:00:52","null","humidity","93.60","5257250408","2472105662"
"","","","","","","","","","","","","temperature","3.00","5257250407",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:00:52","null","P1","5.07","5257250451","2472105683"
"","","","","","","","","","","","","P2","3.60","5257250454",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:00:53","null","humidity","99.90","5257250539","2472105724"
"","","","","","","","","","","","","temperature","1.00","5257250538",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:00:56","null","P1","7.07","5257251121","2472106000"
"","","","","","","","","","","","","P2","2.42","5257251123",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:00:56","null","humidity","99.90","5257251193","2472106034"
"","","","","","","","","","","","","temperature","4.00","5257251190",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:01:02","null","P1","4.87","5257252141","2472106478"
"","","","","","","","","","","","","P2","2.30","5257252142",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:01:03","null","humidity","99.90","5257252229","2472106518"
"","","","","","","","","","","","","temperature","2.70","5257252228",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:01:04","null","P1","18.17","5257252420","2472106610"
"","","","","","","","","","","","","P2","11.15","5257252422",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:01:04","null","humidity","99.90","5257252523","2472106659"
"","","","","","","","","","","","","temperature","0.30","5257252521",""
"SDS011","Nova Fitness","14","1","16703","LU","201.1","6.1140","49.8580","8468","2018-12-10 22:01:21","null","P1","9.37","5257255385","2472108023"
"","","","","","","","","","","","","P2","7.40","5257255386",""
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-10 22:01:22","null","P1","10.67","5257255647","2472108144"
"","","","","","","","","","","","","P2","6.13","5257255648",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-10 22:01:22","null","humidity","99.90","5257255725","2472108181"
"","","","","","","","","","","","","temperature","1.70","5257255722",""
"SDS011","Nova Fitness","14","1","18971","LU","231.9","6.0960","49.7440","9620","2018-12-10 22:01:24","null","P1","4.73","5257256021","2472108324"
"","","","","","","","","","","","","P2","2.97","5257256022",""
"DHT22","various","9","7","18972","LU","231.9","6.0960","49.7440","9620","2018-12-10 22:01:24","null","humidity","91.30","5257256072","2472108349"
"","","","","","","","","","","","","temperature","3.10","5257256071",""
"SDS011","Nova Fitness","14","1","12699","LU","328.9","6.0600","49.5700","6414","2018-12-10 22:01:32","null","P1","5.93","5257257257","2472108918"
"","","","","","","","","","","","","P2","3.28","5257257260",""
"DHT22","various","9","7","12700","LU","328.9","6.0600","49.5700","6414","2018-12-10 22:01:32","null","humidity","99.90","5257257319","2472108946"
"","","","","","","","","","","","","temperature","2.40","5257257318",""
"DHT22","various","9","7","10818","LU","272.2","6.1160","49.6020","5461","2018-12-10 22:01:59","null","humidity","99.90","5257261298","2472110819"
"","","","","","","","","","","","","temperature","4.90","5257261297",""
"SDS011","Nova Fitness","14","1","12114","LU","165.9","6.4180","49.8100","6121","2018-12-10 22:02:06","null","P1","7.57","5257262605","2472111443"
"","","","","","","","","","","","","P2","5.17","5257262607",""
