"sampling_rate","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country","id"
"null","4.23","P1","4857444248","2018-11-11 12:35:55","1","Nova Fitness","14","SDS011","12008","49.5860","6063","175.8","6.3620","LU","2282206770"
"","1.30","P2","4857444249","","","","","","","","","","","",""
"null","99.90","humidity","4857444352","2018-11-11 12:35:55","7","various","9","DHT22","12009","49.5860","6063","175.8","6.3620","LU","2282206820"
"","13.40","temperature","4857444351","","","","","","","","","","","",""
"null","10.27","P1","4857444672","2018-11-11 12:35:57","1","Nova Fitness","14","SDS011","12760","49.7420","6444","225.5","6.1140","LU","2282206975"
"","2.70","P2","4857444673","","","","","","","","","","","",""
"null","99.90","humidity","4857444726","2018-11-11 12:35:58","7","various","9","DHT22","12761","49.7420","6444","225.5","6.1140","LU","2282207001"
"","12.50","temperature","4857444725","","","","","","","","","","","",""
"null","4.47","P1","4857445907","2018-11-11 12:36:06","1","Nova Fitness","14","SDS011","12699","49.5700","6414","328.9","6.0600","LU","2282207565"
"","1.10","P2","4857445908","","","","","","","","","","","",""
"null","99.90","humidity","4857445967","2018-11-11 12:36:06","7","various","9","DHT22","12700","49.5700","6414","328.9","6.0600","LU","2282207592"
"","12.00","temperature","4857445966","","","","","","","","","","","",""
"null","4.67","P1","4857446128","2018-11-11 12:36:07","1","Nova Fitness","14","SDS011","13112","49.7520","6622","240.9","6.1000","LU","2282207669"
"","2.00","P2","4857446129","","","","","","","","","","","",""
"null","99.90","humidity","4857446184","2018-11-11 12:36:08","7","various","9","DHT22","13113","49.7520","6622","240.9","6.1000","LU","2282207695"
"","12.60","temperature","4857446183","","","","","","","","","","","",""
"null","0.00","P1","4857446291","2018-11-11 12:36:08","1","Nova Fitness","14","SDS011","13281","49.7560","6709","225.2","6.1160","LU","2282207747"
"","0.00","P2","4857446292","","","","","","","","","","","",""
"null","60.50","humidity","4857446350","2018-11-11 12:36:09","7","various","9","DHT22","13282","49.7560","6709","225.2","6.1160","LU","2282207773"
"","18.10","temperature","4857446349","","","","","","","","","","","",""
"null","8.23","P1","4857446463","2018-11-11 12:36:09","1","Nova Fitness","14","SDS011","12886","49.7460","6511","229.9","6.0940","LU","2282207827"
"","1.93","P2","4857446465","","","","","","","","","","","",""
"null","99.90","humidity","4857446519","2018-11-11 12:36:10","7","various","9","DHT22","12887","49.7460","6511","229.9","6.0940","LU","2282207853"
"","12.10","temperature","4857446518","","","","","","","","","","","",""
"null","9.00","P1","4857447392","2018-11-11 12:36:15","1","Nova Fitness","14","SDS011","12725","49.7540","6427","244.1","6.1060","LU","2282208274"
