"sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","timestamp","sampling_rate","id","location__longitude","location__latitude","location__id","location__country","location__altitude","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensor__pin"
"4885491005","P1","2.73","2018-11-13 12:38:58","null","2295548784","6.4180","49.8100","6121","LU","165.9","Nova Fitness","SDS011","14","12114","1"
"4885491006","P2","2.00","","","","","","","","","","","","",""
"4885491123","humidity","99.90","2018-11-13 12:38:59","null","2295548839","6.4180","49.8100","6121","LU","165.9","various","DHT22","9","12115","7"
"4885491122","temperature","15.80","","","","","","","","","","","","",""
"4885493093","P1","3.65","2018-11-13 12:39:11","null","2295549778","6.0940","49.7520","6994","LU","231.8","Nova Fitness","SDS011","14","13847","1"
"4885493094","P2","1.00","","","","","","","","","","","","",""
"4885493165","humidity","86.00","2018-11-13 12:39:11","null","2295549812","6.0940","49.7520","6994","LU","231.8","various","DHT22","9","13848","7"
"4885493164","temperature","15.10","","","","","","","","","","","","",""
"4885493838","P1","3.58","2018-11-13 12:39:16","null","2295550136","6.0940","49.7460","6511","LU","229.9","Nova Fitness","SDS011","14","12886","1"
"4885493839","P2","1.33","","","","","","","","","","","","",""
"4885493902","humidity","99.90","2018-11-13 12:39:16","null","2295550165","6.0940","49.7460","6511","LU","229.9","various","DHT22","9","12887","7"
"4885493901","temperature","13.80","","","","","","","","","","","","",""
"4885495550","P1","0.00","2018-11-13 12:39:29","null","2295550953","6.1160","49.7560","6709","LU","225.2","Nova Fitness","SDS011","14","13281","1"
"4885495551","P2","0.00","","","","","","","","","","","","",""
"4885495612","humidity","65.30","2018-11-13 12:39:29","null","2295550982","6.1160","49.7560","6709","LU","225.2","various","DHT22","9","13282","7"
"4885495610","temperature","16.70","","","","","","","","","","","","",""
"4885496055","P1","28.33","2018-11-13 12:39:32","null","2295551194","6.1980","49.5420","6626","LU","265.7","Nova Fitness","SDS011","14","13120","1"
"4885496058","P2","26.93","","","","","","","","","","","","",""
"4885496179","humidity","99.90","2018-11-13 12:39:33","null","2295551250","6.1980","49.5420","6626","LU","265.7","various","DHT22","9","13121","7"
"4885496178","temperature","12.80","","","","","","","","","","","","",""
"4885496311","P1","5.55","2018-11-13 12:39:34","null","2295551314","6.0600","49.5700","6414","LU","328.9","Nova Fitness","SDS011","14","12699","1"
"4885496313","P2","1.58","","","","","","","","","","","","",""
"4885496358","humidity","99.90","2018-11-13 12:39:35","null","2295551336","6.0600","49.5700","6414","LU","328.9","various","DHT22","9","12700","7"
"4885496357","temperature","11.90","","","","","","","","","","","","",""
"4885496982","P1","3.85","2018-11-13 12:39:39","null","2295551637","6.1000","49.7520","6622","LU","240.9","Nova Fitness","SDS011","14","13112","1"
"4885496984","P2","1.75","","","","","","","","","","","","",""
"4885497039","humidity","99.90","2018-11-13 12:39:39","null","2295551661","6.1000","49.7520","6622","LU","240.9","various","DHT22","9","13113","7"
"4885497038","temperature","13.40","","","","","","","","","","","","",""
"4885498069","P1","2.60","2018-11-13 12:39:47","null","2295552147","6.1200","49.7580","4031","LU","240.6","Nova Fitness","SDS011","14","7971","1"
"4885498070","P2","1.47","","","","","","","","","","","","",""
"4885498157","humidity","99.90","2018-11-13 12:39:47","null","2295552190","6.1200","49.7580","4031","LU","240.6","various","DHT22","9","7972","7"
"4885498156","temperature","15.20","","","","","","","","","","","","",""
"4885498296","P1","6.23","2018-11-13 12:39:49","null","2295552256","6.3620","49.5860","6063","LU","175.8","Nova Fitness","SDS011","14","12008","1"
"4885498298","P2","1.90","","","","","","","","","","","","",""
"4885498395","humidity","99.90","2018-11-13 12:39:49","null","2295552303","6.3620","49.5860","6063","LU","175.8","various","DHT22","9","12009","7"
"4885498394","temperature","15.40","","","","","","","","","","","","",""
"4885498874","P1","5.45","2018-11-13 12:39:54","null","2295552528","6.1140","49.7420","6444","LU","225.5","Nova Fitness","SDS011","14","12760","1"
"4885498875","P2","1.77","","","","","","","","","","","","",""
"4885498921","humidity","99.90","2018-11-13 12:39:54","null","2295552550","6.1140","49.7420","6444","LU","225.5","various","DHT22","9","12761","7"
"4885498919","temperature","12.70","","","","","","","","","","","","",""
"4885506397","P1","6.40","2018-11-13 12:40:30","null","2295556125","6.1200","49.7580","6523","LU","241.1","Nova Fitness","SDS011","14","12910","1"
"4885506398","P2","1.63","","","","","","","","","","","","",""
"4885506468","humidity","99.90","2018-11-13 12:40:30","null","2295556156","6.1200","49.7580","6523","LU","241.1","various","DHT22","9","12911","7"
"4885506467","temperature","13.90","","","","","","","","","","","","",""
"4885506660","P1","4.90","2018-11-13 12:40:32","null","2295556246","6.1160","49.6020","5461","LU","272.2","Nova Fitness","SDS011","14","10817","1"
"4885506661","P2","2.03","","","","","","","","","","","","",""
"4885506800","humidity","92.50","2018-11-13 12:40:32","null","2295556311","6.1160","49.6020","5461","LU","272.2","various","DHT22","9","10818","7"
"4885506799","temperature","13.70","","","","","","","","","","","","",""
"4885507259","P1","3.53","2018-11-13 12:40:36","null","2295556529","6.1400","49.5920","4740","LU","287.7","Nova Fitness","SDS011","14","9400","1"
"4885507260","P2","1.73","","","","","","","","","","","","",""
"4885508649","P1","4.10","2018-11-13 12:40:45","null","2295557186","6.1060","49.7540","6427","LU","244.1","Nova Fitness","SDS011","14","12725","1"
"4885508650","P2","1.70","","","","","","","","","","","","",""
"4885508706","humidity","70.90","2018-11-13 12:40:45","null","2295557212","6.1060","49.7540","6427","LU","244.1","various","DHT22","9","12726","7"
"4885508705","temperature","14.70","","","","","","","","","","","","",""
"4885509943","P1","2.40","2018-11-13 12:40:53","null","2295557798","6.0040","49.8260","7208","LU","361.3","Nova Fitness","SDS011","14","14247","1"
"4885509944","P2","1.43","","","","","","","","","","","","",""
"4885510051","humidity","99.90","2018-11-13 12:40:54","null","2295557850","6.0040","49.8260","7208","LU","361.3","various","DHT22","9","14248","7"
"4885510050","temperature","10.90","","","","","","","","","","","","",""
