"location__latitude","location__longitude","location__altitude","location__country","location__id","sampling_rate","timestamp","id","sensordatavalues__value","sensordatavalues__id","sensordatavalues__value_type","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__id"
"49.7560","6.1160","225.2","LU","6709","null","2018-11-14 19:27:54","2304114792","0.00","4903496363","P1","1","14","SDS011","Nova Fitness","13281"
"","","","","","","","","0.00","4903496364","P2","","","","",""
"49.7560","6.1160","225.2","LU","6709","null","2018-11-14 19:27:54","2304114845","60.30","4903496476","humidity","7","9","DHT22","various","13282"
"","","","","","","","","17.70","4903496475","temperature","","","","",""
"49.7520","6.0940","231.8","LU","6994","null","2018-11-14 19:27:54","2304114895","115.68","4903496584","P1","1","14","SDS011","Nova Fitness","13847"
"","","","","","","","","17.20","4903496586","P2","","","","",""
"49.7520","6.0940","231.8","LU","6994","null","2018-11-14 19:27:55","2304114955","99.90","4903496709","humidity","7","9","DHT22","various","13848"
"","","","","","","","","6.80","4903496708","temperature","","","","",""
"49.7580","6.1200","240.6","LU","4031","null","2018-11-14 19:27:55","2304115002","18.90","4903496807","P1","1","14","SDS011","Nova Fitness","7971"
"","","","","","","","","7.72","4903496808","P2","","","","",""
"49.7580","6.1200","240.6","LU","4031","null","2018-11-14 19:27:56","2304115111","99.90","4903497040","humidity","7","9","DHT22","various","7972"
"","","","","","","","","4.80","4903497039","temperature","","","","",""
"49.5920","6.1400","287.7","LU","4740","null","2018-11-14 19:28:04","2304116299","32.70","4903499539","P1","1","14","SDS011","Nova Fitness","9400"
"","","","","","","","","8.60","4903499540","P2","","","","",""
"49.6020","6.1160","272.2","LU","5461","null","2018-11-14 19:28:04","2304116342","19.20","4903499628","P1","1","14","SDS011","Nova Fitness","10817"
"","","","","","","","","10.63","4903499632","P2","","","","",""
"49.6020","6.1160","272.2","LU","5461","null","2018-11-14 19:28:05","2304116415","99.90","4903499786","humidity","7","9","DHT22","various","10818"
"","","","","","","","","6.60","4903499785","temperature","","","","",""
"49.7540","6.1060","244.1","LU","6427","null","2018-11-14 19:28:30","2304118147","187.20","4903503441","P1","1","14","SDS011","Nova Fitness","12725"
"","","","","","","","","17.00","4903503442","P2","","","","",""
"49.7540","6.1060","244.1","LU","6427","null","2018-11-14 19:28:31","2304118168","93.90","4903503486","humidity","7","9","DHT22","various","12726"
"","","","","","","","","7.40","4903503485","temperature","","","","",""
"49.8100","6.4180","165.9","LU","6121","null","2018-11-14 19:28:41","2304118826","37.93","4903504866","P1","1","14","SDS011","Nova Fitness","12114"
"","","","","","","","","20.77","4903504867","P2","","","","",""
"49.8100","6.4180","165.9","LU","6121","null","2018-11-14 19:28:42","2304118872","99.90","4903504964","humidity","7","9","DHT22","various","12115"
"","","","","","","","","7.30","4903504963","temperature","","","","",""
"49.7460","6.0940","229.9","LU","6511","null","2018-11-14 19:28:47","2304119185","125.53","4903505619","P1","1","14","SDS011","Nova Fitness","12886"
"","","","","","","","","16.80","4903505620","P2","","","","",""
"49.7460","6.0940","229.9","LU","6511","null","2018-11-14 19:28:48","2304119207","99.90","4903505665","humidity","7","9","DHT22","various","12887"
"","","","","","","","","5.30","4903505664","temperature","","","","",""
"49.5860","6.3620","175.8","LU","6063","null","2018-11-14 19:29:02","2304120083","18.93","4903507489","P1","1","14","SDS011","Nova Fitness","12008"
"","","","","","","","","10.87","4903507490","P2","","","","",""
"49.5860","6.3620","175.8","LU","6063","null","2018-11-14 19:29:04","2304120204","99.90","4903507745","humidity","7","9","DHT22","various","12009"
"","","","","","","","","5.40","4903507744","temperature","","","","",""
"49.8260","6.0040","361.3","LU","7208","null","2018-11-14 19:29:07","2304120411","239.70","4903508175","P1","1","14","SDS011","Nova Fitness","14247"
"","","","","","","","","36.07","4903508176","P2","","","","",""
"49.8260","6.0040","361.3","LU","7208","null","2018-11-14 19:29:08","2304120447","99.90","4903508248","humidity","7","9","DHT22","various","14248"
"","","","","","","","","5.50","4903508247","temperature","","","","",""
"49.7420","6.1140","225.5","LU","6444","null","2018-11-14 19:29:18","2304121093","40.60","4903509620","P1","1","14","SDS011","Nova Fitness","12760"
"","","","","","","","","20.30","4903509622","P2","","","","",""
"49.7420","6.1140","225.5","LU","6444","null","2018-11-14 19:29:19","2304121116","99.90","4903509672","humidity","7","9","DHT22","various","12761"
"","","","","","","","","5.10","4903509671","temperature","","","","",""
"49.7520","6.1000","240.9","LU","6622","null","2018-11-14 19:29:35","2304121969","68.57","4903511479","P1","1","14","SDS011","Nova Fitness","13112"
"","","","","","","","","7.90","4903511480","P2","","","","",""
"49.7520","6.1000","240.9","LU","6622","null","2018-11-14 19:29:35","2304121985","99.90","4903511516","humidity","7","9","DHT22","various","13113"
"","","","","","","","","5.40","4903511515","temperature","","","","",""
"49.5420","6.1980","265.7","LU","6626","null","2018-11-14 19:29:56","2304123275","41.00","4903514216","P1","1","14","SDS011","Nova Fitness","13120"
"","","","","","","","","34.50","4903514217","P2","","","","",""
"49.5420","6.1980","265.7","LU","6626","null","2018-11-14 19:29:57","2304123317","99.90","4903514303","humidity","7","9","DHT22","various","13121"
"","","","","","","","","5.70","4903514302","temperature","","","","",""
"49.5700","6.0600","328.9","LU","6414","null","2018-11-14 19:29:59","2304123451","24.33","4903514589","P1","1","14","SDS011","Nova Fitness","12699"
"","","","","","","","","6.27","4903514590","P2","","","","",""
"49.5700","6.0600","328.9","LU","6414","null","2018-11-14 19:29:59","2304123467","99.90","4903514626","humidity","7","9","DHT22","various","12700"
"","","","","","","","","5.60","4903514625","temperature","","","","",""
"49.7580","6.1200","241.1","LU","6523","null","2018-11-14 19:30:05","2304123856","50.77","4903515435","P1","1","14","SDS011","Nova Fitness","12910"
"","","","","","","","","10.37","4903515436","P2","","","","",""
"49.7580","6.1200","241.1","LU","6523","null","2018-11-14 19:30:05","2304123880","99.90","4903515484","humidity","7","9","DHT22","various","12911"
"","","","","","","","","5.00","4903515483","temperature","","","","",""
"49.8580","6.1140","201.1","LU","8468","null","2018-11-14 19:30:08","2304124183","26.07","4903516106","P1","1","14","SDS011","Nova Fitness","16703"
"","","","","","","","","14.63","4903516107","P2","","","","",""
"49.7560","6.1160","225.2","LU","6709","null","2018-11-14 19:30:20","2304126118","0.00","4903520192","P1","1","14","SDS011","Nova Fitness","13281"
"","","","","","","","","0.00","4903520193","P2","","","","",""
"49.7560","6.1160","225.2","LU","6709","null","2018-11-14 19:30:20","2304126175","60.20","4903520314","humidity","7","9","DHT22","various","13282"
"","","","","","","","","17.80","4903520313","temperature","","","","",""
"49.7520","6.0940","231.8","LU","6994","null","2018-11-14 19:30:21","2304126318","112.07","4903520615","P1","1","14","SDS011","Nova Fitness","13847"
"","","","","","","","","21.37","4903520616","P2","","","","",""
"49.7520","6.0940","231.8","LU","6994","null","2018-11-14 19:30:22","2304126367","99.90","4903520717","humidity","7","9","DHT22","various","13848"
"","","","","","","","","6.80","4903520716","temperature","","","","",""
"49.7580","6.1200","240.6","LU","4031","null","2018-11-14 19:30:22","2304126465","24.30","4903520922","P1","1","14","SDS011","Nova Fitness","7971"
"","","","","","","","","7.37","4903520923","P2","","","","",""
"49.7580","6.1200","240.6","LU","4031","null","2018-11-14 19:30:23","2304126566","99.90","4903521139","humidity","7","9","DHT22","various","7972"
"","","","","","","","","4.70","4903521138","temperature","","","","",""
"49.6020","6.1160","272.2","LU","5461","null","2018-11-14 19:30:32","2304127800","22.37","4903523742","P1","1","14","SDS011","Nova Fitness","10817"
"","","","","","","","","10.63","4903523743","P2","","","","",""
"49.5920","6.1400","287.7","LU","4740","null","2018-11-14 19:30:32","2304127814","52.57","4903523771","P1","1","14","SDS011","Nova Fitness","9400"
"","","","","","","","","9.00","4903523772","P2","","","","",""
"49.6020","6.1160","272.2","LU","5461","null","2018-11-14 19:30:32","2304127879","99.90","4903523909","humidity","7","9","DHT22","various","10818"
"","","","","","","","","6.30","4903523907","temperature","","","","",""
"49.7540","6.1060","244.1","LU","6427","null","2018-11-14 19:30:58","2304129644","221.57","4903527624","P1","1","14","SDS011","Nova Fitness","12725"
"","","","","","","","","18.67","4903527625","P2","","","","",""
"49.7540","6.1060","244.1","LU","6427","null","2018-11-14 19:30:59","2304129671","94.00","4903527681","humidity","7","9","DHT22","various","12726"
"","","","","","","","","7.30","4903527680","temperature","","","","",""
"49.8100","6.4180","165.9","LU","6121","null","2018-11-14 19:31:09","2304130284","27.93","4903528960","P1","1","14","SDS011","Nova Fitness","12114"
"","","","","","","","","18.83","4903528961","P2","","","","",""
"49.8100","6.4180","165.9","LU","6121","null","2018-11-14 19:31:09","2304130331","99.90","4903529058","humidity","7","9","DHT22","various","12115"
"","","","","","","","","7.30","4903529057","temperature","","","","",""
"49.7460","6.0940","229.9","LU","6511","null","2018-11-14 19:31:14","2304130647","169.93","4903529728","P1","1","14","SDS011","Nova Fitness","12886"
"","","","","","","","","17.33","4903529729","P2","","","","",""
"49.7460","6.0940","229.9","LU","6511","null","2018-11-14 19:31:14","2304130658","99.90","4903529752","humidity","7","9","DHT22","various","12887"
