"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12910","SDS011","Nova Fitness","14","P1","5306916904","11.63","2018-12-14 12:06:01","2495697609","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5306916905","7.33","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5306916951","99.90","2018-12-14 12:06:01","2495697632","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5306916950","0.20","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5306922586","0.00","2018-12-14 12:06:37","2495700301","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5306922587","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5306922626","52.80","2018-12-14 12:06:38","2495700320","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5306922625","16.10","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5306922934","13.70","2018-12-14 12:06:40","2495700468","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5306922935","8.30","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5306922984","99.90","2018-12-14 12:06:40","2495700489","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5306922983","0.40","","","","","","","",""
"1","12114","SDS011","Nova Fitness","14","P1","5306926087","17.70","2018-12-14 12:07:01","2495701961","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5306926088","11.10","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5306926156","99.10","2018-12-14 12:07:02","2495701993","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5306926155","2.70","","","","","","","",""
"1","13317","SDS011","Nova Fitness","14","P1","5306927303","13.2","2018-12-14 12:07:09","2495702523","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","P2","5306927301","7.9","","","","","","","",""
"11","13318","BME280","Bosch","17","humidity","5306927358","63.0","2018-12-14 12:07:09","2495702550","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","pressure","5306927356","0","","","","","","","",""
"","","","","","temperature","5306927357","0.4","","","","","","","",""
"","","","","","pressure_at_sealevel","","0","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5306928648","14.10","2018-12-14 12:07:19","2495703160","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5306928649","8.65","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5306928693","99.90","2018-12-14 12:07:19","2495703181","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5306928692","0.90","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5306931883","11.10","2018-12-14 12:07:39","2495704694","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5306931884","9.43","","","","","","","",""
"1","12699","SDS011","Nova Fitness","14","P1","5306932465","8.93","2018-12-14 12:07:42","2495704969","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","P2","5306932466","4.77","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5306932475","13.62","2018-12-14 12:07:42","2495704974","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5306932476","6.50","","","","","","","",""
"7","12700","DHT22","various","9","humidity","5306932512","99.90","2018-12-14 12:07:43","2495704991","49.5700","LU","6414","6.0600","328.9","null"
