"sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","timestamp","id","location__id","location__latitude","location__altitude","location__country","location__longitude","sampling_rate","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin","sensor__id"
"4915531315","14.77","P1","2018-11-15 15:57:52","2309841974","6511","49.7460","229.9","LU","6.0940","null","14","SDS011","Nova Fitness","1","12886"
"4915531318","7.97","P2","","","","","","","","","","","","",""
"4915531452","99.90","humidity","2018-11-15 15:57:52","2309842038","6511","49.7460","229.9","LU","6.0940","null","9","DHT22","various","7","12887"
"4915531447","4.90","temperature","","","","","","","","","","","","",""
"4915535279","13.37","P1","2018-11-15 15:58:04","2309843872","5461","49.6020","272.2","LU","6.1160","null","14","SDS011","Nova Fitness","1","10817"
"4915535281","9.53","P2","","","","","","","","","","","","",""
"4915535506","99.90","humidity","2018-11-15 15:58:05","2309843981","5461","49.6020","272.2","LU","6.1160","null","9","DHT22","various","7","10818"
"4915535505","6.40","temperature","","","","","","","","","","","","",""
"4915538053","21.37","P1","2018-11-15 15:58:22","2309845187","4031","49.7580","240.6","LU","6.1200","null","14","SDS011","Nova Fitness","1","7971"
"4915538055","11.80","P2","","","","","","","","","","","","",""
"4915538144","99.90","humidity","2018-11-15 15:58:22","2309845231","4031","49.7580","240.6","LU","6.1200","null","9","DHT22","various","7","7972"
"4915538142","5.20","temperature","","","","","","","","","","","","",""
"4915538873","61.30","P1","2018-11-15 15:58:28","2309845576","7208","49.8260","361.3","LU","6.0040","null","14","SDS011","Nova Fitness","1","14247"
"4915538874","14.07","P2","","","","","","","","","","","","",""
"4915538994","99.90","humidity","2018-11-15 15:58:28","2309845635","7208","49.8260","361.3","LU","6.0040","null","9","DHT22","various","7","14248"
"4915538992","4.00","temperature","","","","","","","","","","","","",""
"4915539324","13.27","P1","2018-11-15 15:58:31","2309845792","6523","49.7580","241.1","LU","6.1200","null","14","SDS011","Nova Fitness","1","12910"
"4915539325","7.77","P2","","","","","","","","","","","","",""
"4915539386","99.90","humidity","2018-11-15 15:58:31","2309845822","6523","49.7580","241.1","LU","6.1200","null","9","DHT22","various","7","12911"
"4915539385","5.30","temperature","","","","","","","","","","","","",""
"4915541512","5.93","P1","2018-11-15 15:58:49","2309846826","6622","49.7520","240.9","LU","6.1000","null","14","SDS011","Nova Fitness","1","13112"
"4915541513","4.07","P2","","","","","","","","","","","","",""
"4915541557","99.90","humidity","2018-11-15 15:58:49","2309846847","6622","49.7520","240.9","LU","6.1000","null","9","DHT22","various","7","13113"
"4915541556","5.90","temperature","","","","","","","","","","","","",""
"4915544538","12.40","P1","2018-11-15 15:59:12","2309848268","4740","49.5920","287.7","LU","6.1400","null","14","SDS011","Nova Fitness","1","9400"
"4915544539","9.47","P2","","","","","","","","","","","","",""
"4915545262","38.00","P1","2018-11-15 15:59:18","2309848617","6626","49.5420","265.7","LU","6.1980","null","14","SDS011","Nova Fitness","1","13120"
"4915545263","34.73","P2","","","","","","","","","","","","",""
"4915545347","99.90","humidity","2018-11-15 15:59:18","2309848658","6626","49.5420","265.7","LU","6.1980","null","9","DHT22","various","7","13121"
"4915545346","6.40","temperature","","","","","","","","","","","","",""
"4915546914","12.40","P1","2018-11-15 15:59:32","2309849402","6444","49.7420","225.5","LU","6.1140","null","14","SDS011","Nova Fitness","1","12760"
"4915546915","7.20","P2","","","","","","","","","","","","",""
"4915546966","99.90","humidity","2018-11-15 15:59:33","2309849427","6444","49.7420","225.5","LU","6.1140","null","9","DHT22","various","7","12761"
"4915546965","5.30","temperature","","","","","","","","","","","","",""
"4915547166","24.90","P1","2018-11-15 15:59:34","2309849522","6414","49.5700","328.9","LU","6.0600","null","14","SDS011","Nova Fitness","1","12699"
"4915547167","10.03","P2","","","","","","","","","","","","",""
"4915547203","99.90","humidity","2018-11-15 15:59:35","2309849540","6414","49.5700","328.9","LU","6.0600","null","9","DHT22","various","7","12700"
"4915547202","5.10","temperature","","","","","","","","","","","","",""
