"sensordatavalues__value","sensordatavalues__id","sensordatavalues__value_type","sampling_rate","timestamp","id","sensor__pin","sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","location__latitude","location__id","location__altitude","location__longitude","location__country"
"99.90","4927822813","humidity","null","2018-11-16 12:55:52","2315686869","7","10818","various","9","DHT22","49.6020","5461","272.2","6.1160","LU"
"9.70","4927822810","temperature","","","","","","","","","","","","",""
"16.25","4927823952","P1","null","2018-11-16 12:55:57","2315687399","1","16703","Nova Fitness","14","SDS011","49.8580","8468","201.1","6.1140","LU"
"14.93","4927823954","P2","","","","","","","","","","","","",""
"25.73","4927826900","P1","null","2018-11-16 12:56:12","2315688803","1","12910","Nova Fitness","14","SDS011","49.7580","6523","241.1","6.1200","LU"
"17.97","4927826901","P2","","","","","","","","","","","","",""
"99.90","4927826965","humidity","null","2018-11-16 12:56:12","2315688834","7","12911","various","9","DHT22","49.7580","6523","241.1","6.1200","LU"
"12.00","4927826963","temperature","","","","","","","","","","","","",""
"22.07","4927828244","P1","null","2018-11-16 12:56:21","2315689447","1","18342","Nova Fitness","14","SDS011","49.7440","9298","225.6","6.0820","LU"
"17.13","4927828245","P2","","","","","","","","","","","","",""
"61.50","4927828299","humidity","null","2018-11-16 12:56:22","2315689474","7","18343","various","9","DHT22","49.7440","9298","225.6","6.0820","LU"
"15.50","4927828298","temperature","","","","","","","","","","","","",""
"31.77","4927829400","P1","null","2018-11-16 12:56:28","2315690000","1","12725","Nova Fitness","14","SDS011","49.7540","6427","244.1","6.1060","LU"
"16.37","4927829405","P2","","","","","","","","","","","","",""
"83.20","4927829472","humidity","null","2018-11-16 12:56:28","2315690035","7","12726","various","9","DHT22","49.7540","6427","244.1","6.1060","LU"
"9.50","4927829471","temperature","","","","","","","","","","","","",""
"26.83","4927830363","P1","null","2018-11-16 12:56:33","2315690455","1","14247","Nova Fitness","14","SDS011","49.8260","7208","361.3","6.0040","LU"
"21.87","4927830364","P2","","","","","","","","","","","","",""
"99.90","4927830473","humidity","null","2018-11-16 12:56:34","2315690505","7","14248","various","9","DHT22","49.8260","7208","361.3","6.0040","LU"
"10.10","4927830472","temperature","","","","","","","","","","","","",""
"24.97","4927831609","P1","null","2018-11-16 12:56:43","2315691047","1","12699","Nova Fitness","14","SDS011","49.5700","6414","328.9","6.0600","LU"
"12.10","4927831610","P2","","","","","","","","","","","","",""
"99.90","4927831642","humidity","null","2018-11-16 12:56:43","2315691062","7","12700","various","9","DHT22","49.5700","6414","328.9","6.0600","LU"
"8.00","4927831641","temperature","","","","","","","","","","","","",""
"16.67","4927834837","P1","null","2018-11-16 12:57:05","2315692573","1","9400","Nova Fitness","14","SDS011","49.5920","4740","287.7","6.1400","LU"
"13.50","4927834838","P2","","","","","","","","","","","","",""
"21.3","4927835435","P1","null","2018-11-16 12:57:09","2315692855","1","13317","Nova Fitness","14","SDS011","49.7560","6728","303.6","6.1280","LU"
"13.9","4927835434","P2","","","","","","","","","","","","",""
"87.5","4927835480","humidity","null","2018-11-16 12:57:10","2315692876","11","13318","Bosch","17","BME280","49.7560","6728","303.6","6.1280","LU"
"0","4927835478","pressure","","","","","","","","","","","","",""
"8.0","4927835479","temperature","","","","","","","","","","","","",""
"0","","pressure_at_sealevel","","","","","","","","","","","","",""
"0.00","4927837569","P1","null","2018-11-16 12:57:27","2315693867","1","13281","Nova Fitness","14","SDS011","49.7560","6709","225.2","6.1160","LU"
"0.00","4927837571","P2","","","","","","","","","","","","",""
"59.00","4927837630","humidity","null","2018-11-16 12:57:27","2315693895","7","13282","various","9","DHT22","49.7560","6709","225.2","6.1160","LU"
"17.40","4927837629","temperature","","","","","","","","","","","","",""
"20.83","4927837777","P1","null","2018-11-16 12:57:28","2315693967","1","13112","Nova Fitness","14","SDS011","49.7520","6622","240.9","6.1000","LU"
"10.50","4927837778","P2","","","","","","","","","","","","",""
"99.90","4927837809","humidity","null","2018-11-16 12:57:29","2315693982","7","13113","various","9","DHT22","49.7520","6622","240.9","6.1000","LU"
"8.60","4927837808","temperature","","","","","","","","","","","","",""
