"sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__pin","id","location__longitude","location__country","location__latitude","location__id","location__altitude","sampling_rate","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value"
"16703","Nova Fitness","SDS011","14","1","2322227170","6.1140","LU","49.8580","8468","201.1","null","2018-11-17 12:25:21","P1","4941586914","5.30"
"","","","","","","","","","","","","","P2","4941586915","4.90"
"7971","Nova Fitness","SDS011","14","1","2322227384","6.1200","LU","49.7580","4031","240.6","null","2018-11-17 12:25:23","P1","4941587358","8.70"
"","","","","","","","","","","","","","P2","4941587359","6.73"
"7972","various","DHT22","9","7","2322227473","6.1200","LU","49.7580","4031","240.6","null","2018-11-17 12:25:23","humidity","4941587551","99.90"
"","","","","","","","","","","","","","temperature","4941587550","11.00"
"12725","Nova Fitness","SDS011","14","1","2322228266","6.1060","LU","49.7540","6427","244.1","null","2018-11-17 12:25:30","P1","4941589209","8.13"
"","","","","","","","","","","","","","P2","4941589210","5.37"
"12726","various","DHT22","9","7","2322228282","6.1060","LU","49.7540","6427","244.1","null","2018-11-17 12:25:30","humidity","4941589244","57.90"
"","","","","","","","","","","","","","temperature","4941589243","9.70"
"13847","Nova Fitness","SDS011","14","1","2322228472","6.0940","LU","49.7520","6994","231.8","null","2018-11-17 12:25:33","P1","4941589642","7.30"
"","","","","","","","","","","","","","P2","4941589643","6.07"
"13848","various","DHT22","9","7","2322228499","6.0940","LU","49.7520","6994","231.8","null","2018-11-17 12:25:33","humidity","4941589698","72.20"
"","","","","","","","","","","","","","temperature","4941589697","10.00"
"12910","Nova Fitness","SDS011","14","1","2322228724","6.1200","LU","49.7580","6523","241.1","null","2018-11-17 12:25:36","P1","4941590159","7.20"
"","","","","","","","","","","","","","P2","4941590160","5.93"
"12911","various","DHT22","9","7","2322228752","6.1200","LU","49.7580","6523","241.1","null","2018-11-17 12:25:36","humidity","4941590219","80.00"
"","","","","","","","","","","","","","temperature","4941590218","10.30"
"18342","Nova Fitness","SDS011","14","1","2322229747","6.0820","LU","49.7440","9298","225.6","null","2018-11-17 12:25:52","P1","4941592307","4.77"
"","","","","","","","","","","","","","P2","4941592308","3.43"
"18343","various","DHT22","9","7","2322229774","6.0820","LU","49.7440","9298","225.6","null","2018-11-17 12:25:52","humidity","4941592363","46.60"
"","","","","","","","","","","","","","temperature","4941592362","14.50"
"12760","Nova Fitness","SDS011","14","1","2322230210","6.1140","LU","49.7420","6444","225.5","null","2018-11-17 12:25:58","P1","4941593283","8.07"
"","","","","","","","","","","","","","P2","4941593284","6.17"
"12761","various","DHT22","9","7","2322230238","6.1140","LU","49.7420","6444","225.5","null","2018-11-17 12:25:59","humidity","4941593344","88.60"
"","","","","","","","","","","","","","temperature","4941593343","8.50"
"13112","Nova Fitness","SDS011","14","1","2322230701","6.1000","LU","49.7520","6622","240.9","null","2018-11-17 12:26:05","P1","4941594312","6.30"
"","","","","","","","","","","","","","P2","4941594315","4.53"
"13113","various","DHT22","9","7","2322230741","6.1000","LU","49.7520","6622","240.9","null","2018-11-17 12:26:05","humidity","4941594397","99.90"
"","","","","","","","","","","","","","temperature","4941594395","8.90"
"12699","Nova Fitness","SDS011","14","1","2322230865","6.0600","LU","49.5700","6414","328.9","null","2018-11-17 12:26:07","P1","4941594652","8.73"
"","","","","","","","","","","","","","P2","4941594653","4.57"
"12700","various","DHT22","9","7","2322230901","6.0600","LU","49.5700","6414","328.9","null","2018-11-17 12:26:07","humidity","4941594732","99.90"
"","","","","","","","","","","","","","temperature","4941594731","9.00"
"14247","Nova Fitness","SDS011","14","1","2322231596","6.0040","LU","49.8260","7208","361.3","null","2018-11-17 12:26:17","P1","4941596190","8.57"
"","","","","","","","","","","","","","P2","4941596191","7.77"
"14248","various","DHT22","9","7","2322231632","6.0040","LU","49.8260","7208","361.3","null","2018-11-17 12:26:17","humidity","4941596269","99.90"
"","","","","","","","","","","","","","temperature","4941596266","10.70"
"12114","Nova Fitness","SDS011","14","1","2322232341","6.4180","LU","49.8100","6121","165.9","null","2018-11-17 12:26:27","P1","4941597757","9.10"
"","","","","","","","","","","","","","P2","4941597758","7.70"
"12115","various","DHT22","9","7","2322232390","6.4180","LU","49.8100","6121","165.9","null","2018-11-17 12:26:28","humidity","4941597859","68.50"
"","","","","","","","","","","","","","temperature","4941597857","12.90"
"13281","Nova Fitness","SDS011","14","1","2322232520","6.1160","LU","49.7560","6709","225.2","null","2018-11-17 12:26:29","P1","4941598127","0.00"
"","","","","","","","","","","","","","P2","4941598133","0.00"
