"location__altitude","location__latitude","location__longitude","location__id","location__country","timestamp","sampling_rate","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sensor__id","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin","id"
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:26:57","null","6.03","P1","4956300746","7971","14","SDS011","Nova Fitness","1","2329221543"
"","","","","","","","4.60","P2","4956300748","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:26:58","null","82.20","humidity","4956300833","7972","9","DHT22","various","7","2329221584"
"","","","","","","","9.20","temperature","4956300832","","","","","",""
"303.6","49.7560","6.1280","6728","LU","2018-11-18 13:27:09","null","8.8","P1","4956302350","13317","14","SDS011","Nova Fitness","1","2329222299"
"","","","","","","","4.8","P2","4956302349","","","","","",""
"303.6","49.7560","6.1280","6728","LU","2018-11-18 13:27:09","null","46.2","humidity","4956302402","13318","17","BME280","Bosch","11","2329222323"
"","","","","","","","0","pressure","4956302398","","","","","",""
"","","","","","","","6.9","temperature","4956302399","","","","","",""
"","","","","","","","0","pressure_at_sealevel","","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:27:19","null","5.65","P1","4956303495","13847","14","SDS011","Nova Fitness","1","2329222848"
"","","","","","","","3.78","P2","4956303497","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:27:19","null","60.00","humidity","4956303544","13848","9","DHT22","various","7","2329222868"
"","","","","","","","9.60","temperature","4956303543","","","","","",""
"201.1","49.8580","6.1140","8468","LU","2018-11-18 13:27:43","null","2.60","P1","4956307834","16703","14","SDS011","Nova Fitness","1","2329224909"
"","","","","","","","2.40","P2","4956307835","","","","","",""
"165.9","49.8100","6.4180","6121","LU","2018-11-18 13:27:47","null","108.30","P1","4956309079","12114","14","SDS011","Nova Fitness","1","2329225504"
"","","","","","","","88.03","P2","4956309081","","","","","",""
"165.9","49.8100","6.4180","6121","LU","2018-11-18 13:27:48","null","56.60","humidity","4956309282","12115","9","DHT22","various","7","2329225598"
"","","","","","","","10.30","temperature","4956309281","","","","","",""
"225.2","49.7560","6.1160","6709","LU","2018-11-18 13:27:52","null","0.00","P1","4956310540","13281","14","SDS011","Nova Fitness","1","2329226194"
"","","","","","","","0.00","P2","4956310541","","","","","",""
"225.2","49.7560","6.1160","6709","LU","2018-11-18 13:27:52","null","57.00","humidity","4956310648","13282","9","DHT22","various","7","2329226241"
"","","","","","","","17.80","temperature","4956310645","","","","","",""
"272.2","49.6020","6.1160","5461","LU","2018-11-18 13:27:55","null","7.17","P1","4956311320","10817","14","SDS011","Nova Fitness","1","2329226561"
"","","","","","","","4.47","P2","4956311321","","","","","",""
"272.2","49.6020","6.1160","5461","LU","2018-11-18 13:27:56","null","48.80","humidity","4956311472","10818","9","DHT22","various","7","2329226634"
"","","","","","","","8.90","temperature","4956311471","","","","","",""
"265.7","49.5420","6.1980","6626","LU","2018-11-18 13:28:10","null","32.40","P1","4956313795","13120","14","SDS011","Nova Fitness","1","2329227747"
"","","","","","","","30.23","P2","4956313797","","","","","",""
"265.7","49.5420","6.1980","6626","LU","2018-11-18 13:28:11","null","99.90","humidity","4956313934","13121","9","DHT22","various","7","2329227813"
"","","","","","","","7.90","temperature","4956313933","","","","","",""
"241.1","49.7580","6.1200","6523","LU","2018-11-18 13:28:12","null","7.77","P1","4956314023","12910","14","SDS011","Nova Fitness","1","2329227856"
"","","","","","","","5.17","P2","4956314024","","","","","",""
"241.1","49.7580","6.1200","6523","LU","2018-11-18 13:28:12","null","63.60","humidity","4956314088","12911","9","DHT22","various","7","2329227887"
"","","","","","","","9.40","temperature","4956314086","","","","","",""
"229.9","49.7460","6.0940","6511","LU","2018-11-18 13:28:13","null","7.10","P1","4956314195","12886","14","SDS011","Nova Fitness","1","2329227938"
"","","","","","","","5.60","P2","4956314196","","","","","",""
"229.9","49.7460","6.0940","6511","LU","2018-11-18 13:28:13","null","65.30","humidity","4956314236","12887","9","DHT22","various","7","2329227957"
"","","","","","","","15.10","temperature","4956314235","","","","","",""
"361.3","49.8260","6.0040","7208","LU","2018-11-18 13:28:27","null","5.80","P1","4956316427","14247","14","SDS011","Nova Fitness","1","2329229007"
"","","","","","","","3.73","P2","4956316429","","","","","",""
"361.3","49.8260","6.0040","7208","LU","2018-11-18 13:28:27","null","97.40","humidity","4956316571","14248","9","DHT22","various","7","2329229074"
"","","","","","","","8.80","temperature","4956316570","","","","","",""
"287.7","49.5920","6.1400","4740","LU","2018-11-18 13:28:40","null","5.83","P1","4956318630","9400","14","SDS011","Nova Fitness","1","2329230049"
"","","","","","","","5.33","P2","4956318631","","","","","",""
"244.1","49.7540","6.1060","6427","LU","2018-11-18 13:28:46","null","12.13","P1","4956319341","12725","14","SDS011","Nova Fitness","1","2329230383"
"","","","","","","","4.80","P2","4956319342","","","","","",""
"244.1","49.7540","6.1060","6427","LU","2018-11-18 13:28:46","null","50.90","humidity","4956319385","12726","9","DHT22","various","7","2329230404"
"","","","","","","","8.80","temperature","4956319384","","","","","",""
"175.8","49.5860","6.3620","6063","LU","2018-11-18 13:28:50","null","8.57","P1","4956320042","12008","14","SDS011","Nova Fitness","1","2329230711"
"","","","","","","","7.07","P2","4956320044","","","","","",""
"175.8","49.5860","6.3620","6063","LU","2018-11-18 13:28:51","null","42.50","humidity","4956320154","12009","9","DHT22","various","7","2329230764"
"","","","","","","","18.70","temperature","4956320153","","","","","",""
"328.9","49.5700","6.0600","6414","LU","2018-11-18 13:28:58","null","8.27","P1","4956321330","12699","14","SDS011","Nova Fitness","1","2329231329"
"","","","","","","","4.60","P2","4956321331","","","","","",""
"328.9","49.5700","6.0600","6414","LU","2018-11-18 13:28:59","null","94.10","humidity","4956321405","12700","9","DHT22","various","7","2329231365"
"","","","","","","","7.10","temperature","4956321404","","","","","",""
"225.5","49.7420","6.1140","6444","LU","2018-11-18 13:29:08","null","9.53","P1","4956322659","12760","14","SDS011","Nova Fitness","1","2329231958"
"","","","","","","","6.40","P2","4956322660","","","","","",""
"225.5","49.7420","6.1140","6444","LU","2018-11-18 13:29:08","null","76.10","humidity","4956322715","12761","9","DHT22","various","7","2329231983"
"","","","","","","","7.20","temperature","4956322714","","","","","",""
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:29:10","null","9.03","P1","4956322984","13112","14","SDS011","Nova Fitness","1","2329232110"
"","","","","","","","5.00","P2","4956322985","","","","","",""
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:29:10","null","99.90","humidity","4956323030","13113","9","DHT22","various","7","2329232133"
"","","","","","","","7.90","temperature","4956323029","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:29:17","null","5.00","P1","4956324088","18342","14","SDS011","Nova Fitness","1","2329232630"
"","","","","","","","2.50","P2","4956324089","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:29:18","null","38.80","humidity","4956324123","18343","9","DHT22","various","7","2329232647"
"","","","","","","","13.60","temperature","4956324122","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:29:25","null","7.57","P1","4956325184","7971","14","SDS011","Nova Fitness","1","2329233152"
"","","","","","","","4.00","P2","4956325185","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:29:26","null","83.50","humidity","4956325294","7972","9","DHT22","various","7","2329233204"
"","","","","","","","9.20","temperature","4956325293","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:29:46","null","8.38","P1","4956327915","13847","14","SDS011","Nova Fitness","1","2329234453"
"","","","","","","","4.37","P2","4956327916","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:29:46","null","60.20","humidity","4956327955","13848","9","DHT22","various","7","2329234472"
"","","","","","","","9.60","temperature","4956327954","","","","","",""
"201.1","49.8580","6.1140","8468","LU","2018-11-18 13:30:11","null","2.33","P1","4956332108","16703","14","SDS011","Nova Fitness","1","2329236457"
