"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"49.7440","LU","231.9","6.0960","9620","2018-12-19 11:33:54","1","Nova Fitness","SDS011","14","18971","P1","7.50","5376942751","null","2528945184"
"","","","","","","","","","","","P2","2.17","5376942752","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-19 11:33:54","7","various","DHT22","9","18972","humidity","93.50","5376942778","null","2528945197"
"","","","","","","","","","","","temperature","9.30","5376942777","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:33:59","1","Nova Fitness","SDS011","14","18342","P1","5.90","5376943567","null","2528945573"
"","","","","","","","","","","","P2","1.70","5376943569","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:34:00","7","various","DHT22","9","18343","humidity","99.90","5376943631","null","2528945603"
"","","","","","","","","","","","temperature","13.00","5376943630","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-19 11:34:01","1","Nova Fitness","SDS011","14","12699","P1","2.47","5376943841","null","2528945706"
"","","","","","","","","","","","P2","1.30","5376943842","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-19 11:34:01","7","various","DHT22","9","12700","humidity","99.90","5376943930","null","2528945748"
"","","","","","","","","","","","temperature","8.50","5376943929","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-19 11:34:09","1","Nova Fitness","SDS011","14","12008","P1","7.80","5376945338","null","2528946413"
"","","","","","","","","","","","P2","2.60","5376945339","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-19 11:34:09","7","various","DHT22","9","12009","humidity","99.90","5376945395","null","2528946440"
"","","","","","","","","","","","temperature","10.40","5376945393","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-19 11:34:21","1","Nova Fitness","SDS011","14","12886","P1","4.00","5376947302","null","2528947347"
"","","","","","","","","","","","P2","1.50","5376947303","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-19 11:34:21","7","various","DHT22","9","12887","humidity","99.90","5376947364","null","2528947377"
"","","","","","","","","","","","temperature","12.70","5376947363","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-19 11:34:50","1","Nova Fitness","SDS011","14","7971","P1","1.73","5376951762","null","2528949462"
"","","","","","","","","","","","P2","1.23","5376951763","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-19 11:34:50","7","various","DHT22","9","7972","humidity","99.90","5376951810","null","2528949482"
"","","","","","","","","","","","temperature","11.60","5376951808","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-19 11:34:59","1","Nova Fitness","SDS011","14","13281","P1","0.00","5376953184","null","2528950132"
"","","","","","","","","","","","P2","0.00","5376953186","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-19 11:35:00","7","various","DHT22","9","13282","humidity","57.00","5376953258","null","2528950167"
"","","","","","","","","","","","temperature","16.20","5376953257","",""
"49.8260","LU","361.3","6.0040","7208","2018-12-19 11:35:10","1","Nova Fitness","SDS011","14","14247","P1","5.27","5376955271","null","2528951122"
"","","","","","","","","","","","P2","3.30","5376955277","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-19 11:35:15","1","Nova Fitness","SDS011","14","12114","P1","9.03","5376956166","null","2528951547"
"","","","","","","","","","","","P2","3.07","5376956167","",""
