"sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","sampling_rate","sensor__id","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","id","location__altitude","location__longitude","location__latitude","location__id","location__country"
"P1","4980546921","25.93","2018-11-20 14:47:54","null","12725","1","Nova Fitness","SDS011","14","2340694306","244.1","6.1060","49.7540","6427","LU"
"P2","4980546922","13.07","","","","","","","","","","","","",""
"humidity","4980546971","63.40","2018-11-20 14:47:54","null","12726","7","various","DHT22","9","2340694330","244.1","6.1060","49.7540","6427","LU"
"temperature","4980546969","5.90","","","","","","","","","","","","",""
"P1","4980546978","20.10","2018-11-20 14:47:55","null","9400","1","Nova Fitness","SDS011","14","2340694335","287.7","6.1400","49.5920","4740","LU"
"P2","4980546981","13.70","","","","","","","","","","","","",""
"P1","4980547335","17.55","2018-11-20 14:47:58","null","13847","1","Nova Fitness","SDS011","14","2340694502","231.8","6.0940","49.7520","6994","LU"
"P2","4980547336","11.12","","","","","","","","","","","","",""
"humidity","4980547372","79.00","2018-11-20 14:47:58","null","13848","7","various","DHT22","9","2340694520","231.8","6.0940","49.7520","6994","LU"
"temperature","4980547371","6.20","","","","","","","","","","","","",""
"humidity","4980551359","99.90","2018-11-20 14:48:39","null","12115","7","various","DHT22","9","2340696391","165.9","6.4180","49.8100","6121","LU"
"temperature","4980551358","5.10","","","","","","","","","","","","",""
"P1","4980551435","60.05","2018-11-20 14:48:40","null","12760","1","Nova Fitness","SDS011","14","2340696428","225.5","6.1140","49.7420","6444","LU"
"P2","4980551436","30.73","","","","","","","","","","","","",""
"humidity","4980551469","99.40","2018-11-20 14:48:41","null","12761","7","various","DHT22","9","2340696443","225.5","6.1140","49.7420","6444","LU"
"temperature","4980551468","3.80","","","","","","","","","","","","",""
"P1","4980552643","23.00","2018-11-20 14:48:53","null","12886","1","Nova Fitness","SDS011","14","2340696997","229.9","6.0940","49.7460","6511","LU"
"P2","4980552644","12.87","","","","","","","","","","","","",""
"humidity","4980552698","99.90","2018-11-20 14:48:53","null","12887","7","various","DHT22","9","2340697023","229.9","6.0940","49.7460","6511","LU"
"temperature","4980552696","4.10","","","","","","","","","","","","",""
"P1","4980557226","21.03","2018-11-20 14:49:33","null","10817","1","Nova Fitness","SDS011","14","2340699160","272.2","6.1160","49.6020","5461","LU"
"P2","4980557228","11.90","","","","","","","","","","","","",""
"humidity","4980557318","88.50","2018-11-20 14:49:34","null","10818","7","various","DHT22","9","2340699205","272.2","6.1160","49.6020","5461","LU"
"temperature","4980557317","4.30","","","","","","","","","","","","",""
"humidity","4980557672","99.90","2018-11-20 14:49:37","null","7972","7","various","DHT22","9","2340699376","240.6","6.1200","49.7580","4031","LU"
"temperature","4980557671","4.10","","","","","","","","","","","","",""
"P1","4980559524","15.73","2018-11-20 14:49:50","null","13112","1","Nova Fitness","SDS011","14","2340700247","240.9","6.1000","49.7520","6622","LU"
"P2","4980559526","9.27","","","","","","","","","","","","",""
"humidity","4980559579","99.90","2018-11-20 14:49:50","null","13113","7","various","DHT22","9","2340700270","240.9","6.1000","49.7520","6622","LU"
"temperature","4980559578","4.50","","","","","","","","","","","","",""
"P1","4980559852","0.00","2018-11-20 14:49:52","null","13281","1","Nova Fitness","SDS011","14","2340700400","225.2","6.1160","49.7560","6709","LU"
"P2","4980559853","0.00","","","","","","","","","","","","",""
"humidity","4980559891","55.10","2018-11-20 14:49:53","null","13282","7","various","DHT22","9","2340700419","225.2","6.1160","49.7560","6709","LU"
"temperature","4980559890","17.60","","","","","","","","","","","","",""
