"sampling_rate","id","sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__pin","timestamp","location__altitude","location__id","location__latitude","location__country","location__longitude","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id"
"null","2345316338","12699","Nova Fitness","SDS011","14","1","2018-11-21 12:26:14","328.9","6414","49.5700","LU","6.0600","P1","33.87","4990348016"
"","","","","","","","","","","","","","P2","19.87","4990348017"
"null","2345316359","12700","various","DHT22","9","7","2018-11-21 12:26:14","328.9","6414","49.5700","LU","6.0600","humidity","99.90","4990348060"
"","","","","","","","","","","","","","temperature","4.10","4990348059"
"null","2345316862","9400","Nova Fitness","SDS011","14","1","2018-11-21 12:26:23","287.7","4740","49.5920","LU","6.1400","P1","20.77","4990349109"
"","","","","","","","","","","","","","P2","15.63","4990349110"
"null","2345317634","13281","Nova Fitness","SDS011","14","1","2018-11-21 12:26:37","225.2","6709","49.7560","LU","6.1160","P1","0.00","4990350745"
"","","","","","","","","","","","","","P2","0.00","4990350746"
"null","2345317666","13282","various","DHT22","9","7","2018-11-21 12:26:38","225.2","6709","49.7560","LU","6.1160","humidity","55.10","4990350813"
"","","","","","","","","","","","","","temperature","17.60","4990350812"
"null","2345317999","18342","Nova Fitness","SDS011","14","1","2018-11-21 12:26:45","225.6","9298","49.7440","LU","6.0820","P1","26.23","4990351515"
"","","","","","","","","","","","","","P2","21.20","4990351516"
"null","2345318012","18343","various","DHT22","9","7","2018-11-21 12:26:45","225.6","9298","49.7440","LU","6.0820","humidity","91.70","4990351545"
"","","","","","","","","","","","","","temperature","5.70","4990351544"
"null","2345318077","12910","Nova Fitness","SDS011","14","1","2018-11-21 12:26:47","241.1","6523","49.7580","LU","6.1200","P1","30.40","4990351679"
"","","","","","","","","","","","","","P2","18.07","4990351680"
"null","2345318092","12911","various","DHT22","9","7","2018-11-21 12:26:47","241.1","6523","49.7580","LU","6.1200","humidity","99.90","4990351711"
"","","","","","","","","","","","","","temperature","5.10","4990351710"
"null","2345318223","12008","Nova Fitness","SDS011","14","1","2018-11-21 12:26:49","175.8","6063","49.5860","LU","6.3620","P1","18.67","4990351981"
"","","","","","","","","","","","","","P2","14.17","4990351984"
"null","2345318261","12009","various","DHT22","9","7","2018-11-21 12:26:50","175.8","6063","49.5860","LU","6.3620","humidity","99.90","4990352063"
"","","","","","","","","","","","","","temperature","6.90","4990352062"
"null","2345318528","12725","Nova Fitness","SDS011","14","1","2018-11-21 12:26:55","244.1","6427","49.7540","LU","6.1060","P1","27.30","4990352644"
"","","","","","","","","","","","","","P2","16.07","4990352645"
"null","2345318541","12726","various","DHT22","9","7","2018-11-21 12:26:56","244.1","6427","49.7540","LU","6.1060","humidity","78.60","4990352671"
"","","","","","","","","","","","","","temperature","6.80","4990352670"
"null","2345320042","13317","Nova Fitness","SDS011","14","1","2018-11-21 12:27:22","303.6","6728","49.7560","LU","6.1280","P1","24.5","4990355853"
"","","","","","","","","","","","","","P2","16.9","4990355852"
"null","2345320064","13318","Bosch","BME280","17","11","2018-11-21 12:27:23","303.6","6728","49.7560","LU","6.1280","humidity","77.7","4990355900"
"","","","","","","","","","","","","","pressure","0","4990355898"
"","","","","","","","","","","","","","temperature","4.9","4990355899"
"","","","","","","","","","","","","","pressure_at_sealevel","0",""
"null","2345320250","7972","various","DHT22","9","7","2018-11-21 12:27:26","240.6","4031","49.7580","LU","6.1200","humidity","99.90","4990356292"
"","","","","","","","","","","","","","temperature","6.20","4990356291"
"null","2345320736","13847","Nova Fitness","SDS011","14","1","2018-11-21 12:27:34","231.8","6994","49.7520","LU","6.0940","P1","20.62","4990357320"
"","","","","","","","","","","","","","P2","15.45","4990357321"
"null","2345320755","13848","various","DHT22","9","7","2018-11-21 12:27:35","231.8","6994","49.7520","LU","6.0940","humidity","92.10","4990357362"
"","","","","","","","","","","","","","temperature","7.30","4990357359"
"null","2345321086","12886","Nova Fitness","SDS011","14","1","2018-11-21 12:27:40","229.9","6511","49.7460","LU","6.0940","P1","23.90","4990358067"
"","","","","","","","","","","","","","P2","16.83","4990358068"
"null","2345321104","12887","various","DHT22","9","7","2018-11-21 12:27:40","229.9","6511","49.7460","LU","6.0940","humidity","99.90","4990358106"
"","","","","","","","","","","","","","temperature","5.30","4990358105"
"null","2345321128","12115","various","DHT22","9","7","2018-11-21 12:27:41","165.9","6121","49.8100","LU","6.4180","humidity","99.90","4990358157"
"","","","","","","","","","","","","","temperature","6.90","4990358156"
"null","2345321602","10817","Nova Fitness","SDS011","14","1","2018-11-21 12:27:50","272.2","5461","49.6020","LU","6.1160","P1","20.13","4990359153"
"","","","","","","","","","","","","","P2","13.20","4990359154"
"null","2345321636","10818","various","DHT22","9","7","2018-11-21 12:27:51","272.2","5461","49.6020","LU","6.1160","humidity","96.30","4990359227"
"","","","","","","","","","","","","","temperature","7.00","4990359226"
"null","2345322503","13112","Nova Fitness","SDS011","14","1","2018-11-21 12:28:07","240.9","6622","49.7520","LU","6.1000","P1","20.43","4990361068"
"","","","","","","","","","","","","","P2","12.83","4990361069"
"null","2345322524","13113","various","DHT22","9","7","2018-11-21 12:28:07","240.9","6622","49.7520","LU","6.1000","humidity","99.90","4990361114"
"","","","","","","","","","","","","","temperature","4.60","4990361113"
"null","2345322572","12760","Nova Fitness","SDS011","14","1","2018-11-21 12:28:08","225.5","6444","49.7420","LU","6.1140","P1","27.13","4990361213"
"","","","","","","","","","","","","","P2","17.87","4990361215"
"null","2345322611","12761","various","DHT22","9","7","2018-11-21 12:28:08","225.5","6444","49.7420","LU","6.1140","humidity","99.90","4990361301"
"","","","","","","","","","","","","","temperature","4.90","4990361300"
"null","2345324305","16703","Nova Fitness","SDS011","14","1","2018-11-21 12:28:38","201.1","8468","49.8580","LU","6.1140","P1","12.57","4990364899"
"","","","","","","","","","","","","","P2","11.67","4990364900"
"null","2345325665","12699","Nova Fitness","SDS011","14","1","2018-11-21 12:28:59","328.9","6414","49.5700","LU","6.0600","P1","29.07","4990367749"
"","","","","","","","","","","","","","P2","15.53","4990367751"
"null","2345325690","12700","various","DHT22","9","7","2018-11-21 12:29:00","328.9","6414","49.5700","LU","6.0600","humidity","99.90","4990367805"
"","","","","","","","","","","","","","temperature","4.20","4990367804"
"null","2345325942","13281","Nova Fitness","SDS011","14","1","2018-11-21 12:29:04","225.2","6709","49.7560","LU","6.1160","P1","0.00","4990368342"
"","","","","","","","","","","","","","P2","0.00","4990368343"
"null","2345325963","13282","various","DHT22","9","7","2018-11-21 12:29:04","225.2","6709","49.7560","LU","6.1160","humidity","55.10","4990368385"
"","","","","","","","","","","","","","temperature","17.60","4990368384"
"null","2345326159","9400","Nova Fitness","SDS011","14","1","2018-11-21 12:29:08","287.7","4740","49.5920","LU","6.1400","P1","19.53","4990368799"
"","","","","","","","","","","","","","P2","15.97","4990368800"
"null","2345326361","18342","Nova Fitness","SDS011","14","1","2018-11-21 12:29:11","225.6","9298","49.7440","LU","6.0820","P1","23.10","4990369228"
"","","","","","","","","","","","","","P2","16.80","4990369229"
"null","2345326387","18343","various","DHT22","9","7","2018-11-21 12:29:12","225.6","9298","49.7440","LU","6.0820","humidity","92.10","4990369281"
"","","","","","","","","","","","","","temperature","5.70","4990369280"
"null","2345326462","12910","Nova Fitness","SDS011","14","1","2018-11-21 12:29:13","241.1","6523","49.7580","LU","6.1200","P1","26.13","4990369436"
"","","","","","","","","","","","","","P2","18.10","4990369437"
"null","2345326482","12911","various","DHT22","9","7","2018-11-21 12:29:14","241.1","6523","49.7580","LU","6.1200","humidity","99.90","4990369482"
"","","","","","","","","","","","","","temperature","5.00","4990369481"
"null","2345326990","12725","Nova Fitness","SDS011","14","1","2018-11-21 12:29:23","244.1","6427","49.7540","LU","6.1060","P1","27.47","4990370561"
"","","","","","","","","","","","","","P2","15.57","4990370562"
"null","2345327015","12726","various","DHT22","9","7","2018-11-21 12:29:23","244.1","6427","49.7540","LU","6.1060","humidity","78.40","4990370615"
"","","","","","","","","","","","","","temperature","6.80","4990370614"
"null","2345327319","12008","Nova Fitness","SDS011","14","1","2018-11-21 12:29:29","175.8","6063","49.5860","LU","6.3620","P1","19.50","4990371269"
"","","","","","","","","","","","","","P2","14.10","4990371270"
"null","2345327352","12009","various","DHT22","9","7","2018-11-21 12:29:30","175.8","6063","49.5860","LU","6.3620","humidity","99.90","4990371340"
"","","","","","","","","","","","","","temperature","6.80","4990371339"
"null","2345329082","13847","Nova Fitness","SDS011","14","1","2018-11-21 12:30:02","231.8","6994","49.7520","LU","6.0940","P1","20.60","4990375000"
"","","","","","","","","","","","","","P2","15.40","4990375001"
"null","2345329097","13848","various","DHT22","9","7","2018-11-21 12:30:03","231.8","6994","49.7520","LU","6.0940","humidity","92.20","4990375032"
"","","","","","","","","","","","","","temperature","7.10","4990375031"
"null","2345329278","12886","Nova Fitness","SDS011","14","1","2018-11-21 12:30:07","229.9","6511","49.7460","LU","6.0940","P1","29.50","4990375409"
"","","","","","","","","","","","","","P2","19.17","4990375410"
"null","2345329312","12887","various","DHT22","9","7","2018-11-21 12:30:07","229.9","6511","49.7460","LU","6.0940","humidity","99.90","4990375478"
"","","","","","","","","","","","","","temperature","5.60","4990375477"
"null","2345330325","7972","various","DHT22","9","7","2018-11-21 12:30:23","240.6","4031","49.7580","LU","6.1200","humidity","99.90","4990377624"
"","","","","","","","","","","","","","temperature","6.00","4990377623"
"null","2345330782","10817","Nova Fitness","SDS011","14","1","2018-11-21 12:30:30","272.2","5461","49.6020","LU","6.1160","P1","20.80","4990378592"
"","","","","","","","","","","","","","P2","13.60","4990378593"
"null","2345330832","10818","various","DHT22","9","7","2018-11-21 12:30:31","272.2","5461","49.6020","LU","6.1160","humidity","94.90","4990378699"
"","","","","","","","","","","","","","temperature","6.90","4990378698"
