"sampling_rate","id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","location__country","location__latitude","location__altitude","location__longitude","location__id","timestamp","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","sensor__pin"
"null","2352325053","5005156781","35.20","P1","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:34:52","14","Nova Fitness","SDS011","12760","1"
"","","5005156782","16.97","P2","","","","","","","","","","",""
"null","2352325081","5005156840","99.90","humidity","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:34:52","9","various","DHT22","12761","7"
"","","5005156839","0.90","temperature","","","","","","","","","","",""
"null","2352325137","5005156963","34.65","P1","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:34:53","14","Nova Fitness","SDS011","13847","1"
"","","5005156964","18.50","P2","","","","","","","","","","",""
"null","2352325157","5005157005","96.40","humidity","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:34:54","9","various","DHT22","13848","7"
"","","5005157002","2.80","temperature","","","","","","","","","","",""
"null","2352325695","5005158148","27.20","P1","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:35:04","14","Nova Fitness","SDS011","9400","1"
"","","5005158149","19.13","P2","","","","","","","","","","",""
"null","2352325698","5005158154","28.50","P1","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:35:05","14","Nova Fitness","SDS011","12910","1"
"","","5005158155","15.33","P2","","","","","","","","","","",""
"null","2352325729","5005158215","99.90","humidity","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:35:05","9","various","DHT22","12911","7"
"","","5005158213","1.60","temperature","","","","","","","","","","",""
"null","2352325811","5005158384","76.10","humidity","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:35:06","9","various","DHT22","9401","7"
"","","5005158383","4.20","temperature","","","","","","","","","","",""
"null","2352327992","5005162988","99.90","humidity","LU","49.8100","165.9","6.4180","6121","2018-11-22 16:35:22","9","various","DHT22","12115","7"
"","","5005162986","3.20","temperature","","","","","","","","","","",""
"null","2352331461","5005170321","33.40","P1","LU","49.5700","328.9","6.0600","6414","2018-11-22 16:36:01","14","Nova Fitness","SDS011","12699","1"
"","","5005170322","15.30","P2","","","","","","","","","","",""
"null","2352331516","5005170434","99.90","humidity","LU","49.5700","328.9","6.0600","6414","2018-11-22 16:36:02","9","various","DHT22","12700","7"
"","","5005170433","2.90","temperature","","","","","","","","","","",""
"null","2352331583","5005170569","34.43","P1","LU","49.7460","229.9","6.0940","6511","2018-11-22 16:36:04","14","Nova Fitness","SDS011","12886","1"
"","","5005170571","17.97","P2","","","","","","","","","","",""
"null","2352331604","5005170615","16.90","P1","LU","49.8580","201.1","6.1140","8468","2018-11-22 16:36:04","14","Nova Fitness","SDS011","16703","1"
"","","5005170617","15.30","P2","","","","","","","","","","",""
"null","2352331605","5005170618","99.90","humidity","LU","49.7460","229.9","6.0940","6511","2018-11-22 16:36:04","9","various","DHT22","12887","7"
"","","5005170616","2.50","temperature","","","","","","","","","","",""
"null","2352331716","5005170850","27.57","P1","LU","49.7440","225.6","6.0820","9298","2018-11-22 16:36:06","14","Nova Fitness","SDS011","18342","1"
"","","5005170851","16.30","P2","","","","","","","","","","",""
"null","2352331740","5005170902","95.20","humidity","LU","49.7440","225.6","6.0820","9298","2018-11-22 16:36:06","9","various","DHT22","18343","7"
"","","5005170901","2.30","temperature","","","","","","","","","","",""
"null","2352331963","5005171373","32.15","P1","LU","49.7580","240.6","6.1200","4031","2018-11-22 16:36:10","14","Nova Fitness","SDS011","7971","1"
"","","5005171374","17.60","P2","","","","","","","","","","",""
"null","2352332002","5005171455","99.90","humidity","LU","49.7580","240.6","6.1200","4031","2018-11-22 16:36:11","9","various","DHT22","7972","7"
"","","5005171453","0.20","temperature","","","","","","","","","","",""
"null","2352333020","5005173611","0.00","P1","LU","49.7560","225.2","6.1160","6709","2018-11-22 16:36:28","14","Nova Fitness","SDS011","13281","1"
"","","5005173612","0.00","P2","","","","","","","","","","",""
"null","2352333040","5005173654","58.50","humidity","LU","49.7560","225.2","6.1160","6709","2018-11-22 16:36:29","9","various","DHT22","13282","7"
"","","5005173653","17.60","temperature","","","","","","","","","","",""
"null","2352334225","5005176140","24.87","P1","LU","49.7520","240.9","6.1000","6622","2018-11-22 16:36:48","14","Nova Fitness","SDS011","13112","1"
"","","5005176141","14.33","P2","","","","","","","","","","",""
"null","2352334249","5005176195","99.90","humidity","LU","49.7520","240.9","6.1000","6622","2018-11-22 16:36:48","9","various","DHT22","13113","7"
"","","5005176194","3.00","temperature","","","","","","","","","","",""
"null","2352334875","5005177535","30.73","P1","LU","49.6020","272.2","6.1160","5461","2018-11-22 16:36:59","14","Nova Fitness","SDS011","10817","1"
"","","5005177536","17.40","P2","","","","","","","","","","",""
"null","2352334909","5005177605","99.90","humidity","LU","49.6020","272.2","6.1160","5461","2018-11-22 16:37:00","9","various","DHT22","10818","7"
"","","5005177604","5.10","temperature","","","","","","","","","","",""
"null","2352334995","5005177782","31.70","P1","LU","49.5860","175.8","6.3620","6063","2018-11-22 16:37:01","14","Nova Fitness","SDS011","12008","1"
"","","5005177784","17.00","P2","","","","","","","","","","",""
"null","2352335045","5005177888","99.90","humidity","LU","49.5860","175.8","6.3620","6063","2018-11-22 16:37:02","9","various","DHT22","12009","7"
"","","5005177885","0.50","temperature","","","","","","","","","","",""
"null","2352335158","5005178130","34.67","P1","LU","49.7540","244.1","6.1060","6427","2018-11-22 16:37:04","14","Nova Fitness","SDS011","12725","1"
"","","5005178131","18.37","P2","","","","","","","","","","",""
"null","2352335176","5005178168","79.30","humidity","LU","49.7540","244.1","6.1060","6427","2018-11-22 16:37:05","9","various","DHT22","12726","7"
"","","5005178167","5.50","temperature","","","","","","","","","","",""
"null","2352335431","5005178699","37.6","P1","LU","49.7560","303.6","6.1280","6728","2018-11-22 16:37:09","14","Nova Fitness","SDS011","13317","1"
"","","5005178698","17.7","P2","","","","","","","","","","",""
"null","2352335447","5005178735","92.5","humidity","LU","49.7560","303.6","6.1280","6728","2018-11-22 16:37:10","17","Bosch","BME280","13318","11"
"","","5005178731","0","pressure","","","","","","","","","","",""
"","","5005178733","1.3","temperature","","","","","","","","","","",""
"","","","0","pressure_at_sealevel","","","","","","","","","","",""
