"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","location__longitude","location__id","location__country","location__altitude","location__latitude","timestamp","sampling_rate","id","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","sensor__pin"
"P1","28.57","5017771292","6.0600","6414","LU","328.9","49.5700","2018-11-23 15:01:53","null","2358310790","Nova Fitness","14","SDS011","12699","1"
"P2","13.67","5017771293","","","","","","","","","","","","",""
"humidity","99.90","5017771328","6.0600","6414","LU","328.9","49.5700","2018-11-23 15:01:54","null","2358310807","various","9","DHT22","12700","7"
"temperature","6.50","5017771327","","","","","","","","","","","","",""
"P1","27.90","5017772188","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:02:01","null","2358311219","Nova Fitness","14","SDS011","13112","1"
"P2","16.90","5017772189","","","","","","","","","","","","",""
"humidity","99.90","5017772217","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:02:01","null","2358311233","various","9","DHT22","13113","7"
"temperature","7.00","5017772216","","","","","","","","","","","","",""
"P1","40.1","5017773112","6.1280","6728","LU","303.6","49.7560","2018-11-23 15:02:09","null","2358311654","Nova Fitness","14","SDS011","13317","1"
"P2","19.9","5017773111","","","","","","","","","","","","",""
"humidity","97.4","5017773159","6.1280","6728","LU","303.6","49.7560","2018-11-23 15:02:09","null","2358311676","Bosch","17","BME280","13318","11"
"pressure","0","5017773157","","","","","","","","","","","","",""
"temperature","4.3","5017773158","","","","","","","","","","","","",""
"pressure_at_sealevel","0","","","","","","","","","","","","","",""
"P1","0.00","5017773310","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:02:11","null","2358311747","Nova Fitness","14","SDS011","13281","1"
"P2","0.00","5017773311","","","","","","","","","","","","",""
"humidity","55.10","5017773354","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:02:11","null","2358311768","various","9","DHT22","13282","7"
"temperature","17.40","5017773353","","","","","","","","","","","","",""
"P1","30.80","5017773871","6.0940","6511","LU","229.9","49.7460","2018-11-23 15:02:15","null","2358312014","Nova Fitness","14","SDS011","12886","1"
"P2","17.50","5017773872","","","","","","","","","","","","",""
"humidity","99.90","5017773906","6.0940","6511","LU","229.9","49.7460","2018-11-23 15:02:16","null","2358312031","various","9","DHT22","12887","7"
"temperature","7.40","5017773905","","","","","","","","","","","","",""
"P1","17.80","5017774582","6.1140","8468","LU","201.1","49.8580","2018-11-23 15:02:23","null","2358312353","Nova Fitness","14","SDS011","16703","1"
"P2","15.93","5017774583","","","","","","","","","","","","",""
"P1","31.77","5017783094","6.1060","6427","LU","244.1","49.7540","2018-11-23 15:03:03","null","2358316393","Nova Fitness","14","SDS011","12725","1"
"P2","15.67","5017783096","","","","","","","","","","","","",""
"humidity","76.80","5017783174","6.1060","6427","LU","244.1","49.7540","2018-11-23 15:03:04","null","2358316435","various","9","DHT22","12726","7"
"temperature","8.90","5017783173","","","","","","","","","","","","",""
"P1","22.13","5017784426","6.1200","6523","LU","241.1","49.7580","2018-11-23 15:03:08","null","2358317027","Nova Fitness","14","SDS011","12910","1"
"P2","13.83","5017784427","","","","","","","","","","","","",""
"humidity","99.90","5017784523","6.1200","6523","LU","241.1","49.7580","2018-11-23 15:03:08","null","2358317069","various","9","DHT22","12911","7"
"temperature","5.60","5017784520","","","","","","","","","","","","",""
"P1","33.87","5017787560","6.0040","7208","LU","361.3","49.8260","2018-11-23 15:03:27","null","2358318509","Nova Fitness","14","SDS011","14247","1"
"P2","21.20","5017787561","","","","","","","","","","","","",""
"P1","19.90","5017787639","6.0940","6994","LU","231.8","49.7520","2018-11-23 15:03:27","null","2358318546","Nova Fitness","14","SDS011","13847","1"
"P2","13.55","5017787640","","","","","","","","","","","","",""
"humidity","99.90","5017787689","6.0040","7208","LU","361.3","49.8260","2018-11-23 15:03:28","null","2358318570","various","9","DHT22","14248","7"
"temperature","5.00","5017787688","","","","","","","","","","","","",""
"humidity","90.60","5017787691","6.0940","6994","LU","231.8","49.7520","2018-11-23 15:03:28","null","2358318571","various","9","DHT22","13848","7"
"temperature","8.60","5017787690","","","","","","","","","","","","",""
"P1","24.63","5017790450","6.3620","6063","LU","175.8","49.5860","2018-11-23 15:03:47","null","2358319874","Nova Fitness","14","SDS011","12008","1"
"P2","14.30","5017790451","","","","","","","","","","","","",""
"humidity","99.90","5017790529","6.3620","6063","LU","175.8","49.5860","2018-11-23 15:03:48","null","2358319911","various","9","DHT22","12009","7"
"temperature","5.60","5017790528","","","","","","","","","","","","",""
"P1","21.95","5017790930","6.1200","4031","LU","240.6","49.7580","2018-11-23 15:03:51","null","2358320102","Nova Fitness","14","SDS011","7971","1"
"P2","12.33","5017790931","","","","","","","","","","","","",""
"humidity","99.90","5017791025","6.1200","4031","LU","240.6","49.7580","2018-11-23 15:03:51","null","2358320149","various","9","DHT22","7972","7"
"temperature","5.00","5017791024","","","","","","","","","","","","",""
"P1","21.53","5017793126","6.1160","5461","LU","272.2","49.6020","2018-11-23 15:04:07","null","2358321163","Nova Fitness","14","SDS011","10817","1"
"P2","12.60","5017793127","","","","","","","","","","","","",""
"P1","58.97","5017793232","6.1140","6444","LU","225.5","49.7420","2018-11-23 15:04:08","null","2358321210","Nova Fitness","14","SDS011","12760","1"
"P2","30.87","5017793233","","","","","","","","","","","","",""
"humidity","99.90","5017793235","6.1160","5461","LU","272.2","49.6020","2018-11-23 15:04:08","null","2358321211","various","9","DHT22","10818","7"
"temperature","8.30","5017793234","","","","","","","","","","","","",""
"humidity","99.90","5017793278","6.1140","6444","LU","225.5","49.7420","2018-11-23 15:04:08","null","2358321231","various","9","DHT22","12761","7"
"temperature","3.90","5017793277","","","","","","","","","","","","",""
"P1","26.33","5017793588","6.0820","9298","LU","225.6","49.7440","2018-11-23 15:04:10","null","2358321379","Nova Fitness","14","SDS011","18342","1"
"P2","14.53","5017793591","","","","","","","","","","","","",""
"humidity","90.30","5017793630","6.0820","9298","LU","225.6","49.7440","2018-11-23 15:04:11","null","2358321398","various","9","DHT22","18343","7"
"temperature","6.40","5017793629","","","","","","","","","","","","",""
"P1","44.27","5017794472","6.1980","6626","LU","265.7","49.5420","2018-11-23 15:04:17","null","2358321797","Nova Fitness","14","SDS011","13120","1"
"P2","40.23","5017794473","","","","","","","","","","","","",""
"humidity","99.90","5017794557","6.1980","6626","LU","265.7","49.5420","2018-11-23 15:04:18","null","2358321838","various","9","DHT22","13121","7"
"temperature","6.50","5017794556","","","","","","","","","","","","",""
"P1","21.33","5017795599","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:04:27","null","2358322327","Nova Fitness","14","SDS011","9400","1"
"P2","15.83","5017795600","","","","","","","","","","","","",""
"P1","22.93","5017795647","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:04:28","null","2358322349","Nova Fitness","14","SDS011","13112","1"
"P2","14.10","5017795648","","","","","","","","","","","","",""
"humidity","68.30","5017795673","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:04:28","null","2358322360","various","9","DHT22","9401","7"
"temperature","7.50","5017795672","","","","","","","","","","","","",""
"humidity","99.90","5017795681","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:04:28","null","2358322364","various","9","DHT22","13113","7"
"temperature","6.90","5017795680","","","","","","","","","","","","",""
"P1","0.00","5017796794","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:04:37","null","2358322883","Nova Fitness","14","SDS011","13281","1"
"P2","0.00","5017796795","","","","","","","","","","","","",""
"humidity","55.10","5017796834","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:04:38","null","2358322901","various","9","DHT22","13282","7"
"temperature","17.40","5017796833","","","","","","","","","","","","",""
"P1","29.20","5017796989","6.0600","6414","LU","328.9","49.5700","2018-11-23 15:04:39","null","2358322973","Nova Fitness","14","SDS011","12699","1"
