"location__country","location__latitude","location__longitude","location__id","location__altitude","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","sampling_rate","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","sensor__pin","id","timestamp"
"LU","49.8260","6.0040","7208","361.3","5434387785","P1","10.30","null","14","Nova Fitness","SDS011","14247","1","2556202117","2018-12-23 13:35:56"
"","","","","","5434387786","P2","6.80","","","","","","","",""
"LU","49.5860","6.3620","6063","175.8","5434389458","P1","7.50","null","14","Nova Fitness","SDS011","12008","1","2556202909","2018-12-23 13:36:08"
"","","","","","5434389459","P2","4.10","","","","","","","",""
"LU","49.5860","6.3620","6063","175.8","5434389533","humidity","99.90","null","9","various","DHT22","12009","7","2556202942","2018-12-23 13:36:08"
"","","","","","5434389528","temperature","8.20","","","","","","","",""
"LU","49.7460","6.0940","6511","229.9","5434390968","P1","4.13","null","14","Nova Fitness","SDS011","12886","1","2556203623","2018-12-23 13:36:17"
"","","","","","5434390970","P2","1.70","","","","","","","",""
"LU","49.7460","6.0940","6511","229.9","5434391028","humidity","99.90","null","9","various","DHT22","12887","7","2556203652","2018-12-23 13:36:18"
"","","","","","5434391025","temperature","7.90","","","","","","","",""
"LU","49.7420","6.1140","6444","225.5","5434391909","P1","8.97","null","14","Nova Fitness","SDS011","12760","1","2556204071","2018-12-23 13:36:24"
"","","","","","5434391910","P2","6.37","","","","","","","",""
"LU","49.7420","6.1140","6444","225.5","5434391973","humidity","99.90","null","9","various","DHT22","12761","7","2556204100","2018-12-23 13:36:24"
"","","","","","5434391972","temperature","8.10","","","","","","","",""
"LU","49.7560","6.1160","6709","225.2","5434395165","P1","0.00","null","14","Nova Fitness","SDS011","13281","1","2556205596","2018-12-23 13:36:45"
"","","","","","5434395166","P2","0.00","","","","","","","",""
"LU","49.7560","6.1160","6709","225.2","5434395213","humidity","60.20","null","9","various","DHT22","13282","7","2556205619","2018-12-23 13:36:45"
"","","","","","5434395212","temperature","17.30","","","","","","","",""
"LU","49.7520","6.0940","6994","231.8","5434396185","P1","2.70","null","14","Nova Fitness","SDS011","13847","1","2556206082","2018-12-23 13:36:52"
"","","","","","5434396186","P2","1.10","","","","","","","",""
"LU","49.7520","6.0940","6994","231.8","5434396220","humidity","99.90","null","9","various","DHT22","13848","7","2556206098","2018-12-23 13:36:53"
