"id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","timestamp","sampling_rate","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country"
"2364242228","5030259985","1.93","P1","2018-11-24 12:46:00","null","1","Nova Fitness","14","SDS011","10817","49.6020","5461","272.2","6.1160","LU"
"","5030259986","1.50","P2","","","","","","","","","","","",""
"2364242276","5030260086","99.90","humidity","2018-11-24 12:46:01","null","7","various","9","DHT22","10818","49.6020","5461","272.2","6.1160","LU"
"","5030260085","9.10","temperature","","","","","","","","","","","",""
"2364242961","5030261503","9.43","P1","2018-11-24 12:46:11","null","1","Nova Fitness","14","SDS011","16703","49.8580","8468","201.1","6.1140","LU"
"","5030261504","8.83","P2","","","","","","","","","","","",""
"2364243566","5030262773","3.67","P1","2018-11-24 12:46:21","null","1","Nova Fitness","14","SDS011","12725","49.7540","6427","244.1","6.1060","LU"
"","5030262775","1.70","P2","","","","","","","","","","","",""
"2364243587","5030262818","90.90","humidity","2018-11-24 12:46:22","null","7","various","9","DHT22","12726","49.7540","6427","244.1","6.1060","LU"
"","5030262817","9.50","temperature","","","","","","","","","","","",""
"2364243991","5030263668","1.77","P1","2018-11-24 12:46:28","null","1","Nova Fitness","14","SDS011","7971","49.7580","4031","240.6","6.1200","LU"
"","5030263669","1.67","P2","","","","","","","","","","","",""
"2364244056","5030263805","99.90","humidity","2018-11-24 12:46:29","null","7","various","9","DHT22","7972","49.7580","4031","240.6","6.1200","LU"
"","5030263803","7.70","temperature","","","","","","","","","","","",""
"2364244968","5030265730","31.27","P1","2018-11-24 12:46:41","null","1","Nova Fitness","14","SDS011","13120","49.5420","6626","265.7","6.1980","LU"
"","5030265731","29.33","P2","","","","","","","","","","","",""
"2364245019","5030265839","99.90","humidity","2018-11-24 12:46:42","null","7","various","9","DHT22","13121","49.5420","6626","265.7","6.1980","LU"
"","5030265838","7.80","temperature","","","","","","","","","","","",""
"2364245119","5030266048","99.90","humidity","2018-11-24 12:46:44","null","7","various","9","DHT22","12115","49.8100","6121","165.9","6.4180","LU"
"","5030266045","9.90","temperature","","","","","","","","","","","",""
"2364245422","5030266682","1.40","P1","2018-11-24 12:46:48","null","1","Nova Fitness","14","SDS011","9400","49.5920","4740","287.7","6.1400","LU"
"","5030266683","1.40","P2","","","","","","","","","","","",""
