"sampling_rate","id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","sensor__id","location__id","location__latitude","location__country","location__longitude","location__altitude","timestamp","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id"
"null","2561589415","SDS011","14","Nova Fitness","1","18971","9620","49.7440","LU","6.0960","231.9","2018-12-24 15:43:10","P1","3.57","5445835527"
"","","","","","","","","","","","","","P2","2.70","5445835528"
"null","2561589438","DHT22","9","various","7","18972","9620","49.7440","LU","6.0960","231.9","2018-12-24 15:43:10","humidity","92.60","5445835578"
"","","","","","","","","","","","","","temperature","5.50","5445835577"
"null","2561590189","SDS011","14","Nova Fitness","1","13281","6709","49.7560","LU","6.1160","225.2","2018-12-24 15:43:23","P1","0.00","5445837186"
"","","","","","","","","","","","","","P2","0.00","5445837187"
"null","2561590207","DHT22","9","various","7","13282","6709","49.7560","LU","6.1160","225.2","2018-12-24 15:43:23","humidity","63.20","5445837225"
"","","","","","","","","","","","","","temperature","16.00","5445837224"
"null","2561590307","SDS011","14","Nova Fitness","1","12760","6444","49.7420","LU","6.1140","225.5","2018-12-24 15:43:25","P1","1.87","5445837434"
"","","","","","","","","","","","","","P2","1.70","5445837435"
"null","2561590329","DHT22","9","various","7","12761","6444","49.7420","LU","6.1140","225.5","2018-12-24 15:43:25","humidity","99.90","5445837487"
"","","","","","","","","","","","","","temperature","5.40","5445837486"
"null","2561591469","SDS011","14","Nova Fitness","1","13112","6622","49.7520","LU","6.1000","240.9","2018-12-24 15:43:45","P1","2.20","5445839909"
"","","","","","","","","","","","","","P2","1.80","5445839910"
"null","2561591489","SDS011","14","Nova Fitness","1","13120","6626","49.5420","LU","6.1980","265.7","2018-12-24 15:43:45","P1","30.13","5445839951"
"","","","","","","","","","","","","","P2","28.33","5445839953"
"null","2561591495","DHT22","9","various","7","13113","6622","49.7520","LU","6.1000","240.9","2018-12-24 15:43:45","humidity","99.90","5445839964"
"","","","","","","","","","","","","","temperature","5.70","5445839963"
