"id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","timestamp","sampling_rate","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","location__id","location__country","location__altitude","location__longitude","location__latitude"
"2371269408","1","14","Nova Fitness","SDS011","18342","2018-11-25 14:14:55","null","5045051272","P1","17.53","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045051274","P2","11.80","","","","",""
"2371269427","7","9","various","DHT22","18343","2018-11-25 14:14:55","null","5045051310","humidity","99.90","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045051309","temperature","7.80","","","","",""
"2371270843","1","14","Nova Fitness","SDS011","13120","2018-11-25 14:15:17","null","5045054279","P1","32.87","6626","LU","265.7","6.1980","49.5420"
"","","","","","","","","5045054281","P2","30.67","","","","",""
"2371270921","7","9","various","DHT22","13121","2018-11-25 14:15:18","null","5045054447","humidity","99.90","6626","LU","265.7","6.1980","49.5420"
"","","","","","","","","5045054443","temperature","7.50","","","","",""
"2371271045","1","14","Nova Fitness","SDS011","12760","2018-11-25 14:15:19","null","5045054701","P1","13.50","6444","LU","225.5","6.1140","49.7420"
"","","","","","","","","5045054703","P2","10.57","","","","",""
"2371271084","7","9","various","DHT22","12761","2018-11-25 14:15:19","null","5045054790","humidity","99.90","6444","LU","225.5","6.1140","49.7420"
"","","","","","","","","5045054786","temperature","7.30","","","","",""
"2371272355","1","14","Nova Fitness","SDS011","10817","2018-11-25 14:15:31","null","5045057458","P1","5.80","5461","LU","272.2","6.1160","49.6020"
"","","","","","","","","5045057461","P2","5.20","","","","",""
"2371272445","7","9","various","DHT22","10818","2018-11-25 14:15:32","null","5045057647","humidity","99.90","5461","LU","272.2","6.1160","49.6020"
"","","","","","","","","5045057645","temperature","9.20","","","","",""
"2371273003","1","14","Nova Fitness","SDS011","9400","2018-11-25 14:15:37","null","5045058825","P1","7.37","4740","LU","287.7","6.1400","49.5920"
"","","","","","","","","5045058826","P2","6.77","","","","",""
"2371273067","7","9","various","DHT22","9401","2018-11-25 14:15:38","null","5045058957","humidity","96.60","4740","LU","287.7","6.1400","49.5920"
"","","","","","","","","5045058956","temperature","8.00","","","","",""
"2371273926","1","14","Nova Fitness","SDS011","7971","2018-11-25 14:15:53","null","5045060765","P1","6.00","4031","LU","240.6","6.1200","49.7580"
"","","","","","","","","5045060766","P2","5.40","","","","",""
"2371273932","1","14","Nova Fitness","SDS011","12886","2018-11-25 14:15:53","null","5045060778","P1","9.07","6511","LU","229.9","6.0940","49.7460"
"","","","","","","","","5045060779","P2","7.00","","","","",""
"2371273959","7","9","various","DHT22","12887","2018-11-25 14:15:53","null","5045060836","humidity","99.90","6511","LU","229.9","6.0940","49.7460"
"","","","","","","","","5045060834","temperature","8.20","","","","",""
"2371273986","7","9","various","DHT22","7972","2018-11-25 14:15:53","null","5045060891","humidity","99.90","4031","LU","240.6","6.1200","49.7580"
"","","","","","","","","5045060888","temperature","7.20","","","","",""
"2371274604","1","14","Nova Fitness","SDS011","14247","2018-11-25 14:16:00","null","5045062190","P1","10.60","7208","LU","361.3","6.0040","49.8260"
"","","","","","","","","5045062191","P2","9.50","","","","",""
"2371274670","7","9","various","DHT22","14248","2018-11-25 14:16:01","null","5045062329","humidity","99.90","7208","LU","361.3","6.0040","49.8260"
"","","","","","","","","5045062328","temperature","6.30","","","","",""
"2371275114","1","14","Nova Fitness","SDS011","12699","2018-11-25 14:16:06","null","5045063248","P1","10.40","6414","LU","328.9","6.0600","49.5700"
"","","","","","","","","5045063249","P2","6.83","","","","",""
"2371275122","1","14","Nova Fitness","SDS011","13281","2018-11-25 14:16:06","null","5045063266","P1","0.00","6709","LU","225.2","6.1160","49.7560"
"","","","","","","","","5045063267","P2","0.00","","","","",""
"2371275162","7","9","various","DHT22","12700","2018-11-25 14:16:06","null","5045063351","humidity","99.90","6414","LU","328.9","6.0600","49.5700"
"","","","","","","","","5045063349","temperature","6.90","","","","",""
"2371275174","7","9","various","DHT22","13282","2018-11-25 14:16:06","null","5045063373","humidity","52.90","6709","LU","225.2","6.1160","49.7560"
"","","","","","","","","5045063370","temperature","17.40","","","","",""
"2371275251","1","14","Nova Fitness","SDS011","16703","2018-11-25 14:16:07","null","5045063536","P1","1.90","8468","LU","201.1","6.1140","49.8580"
"","","","","","","","","5045063537","P2","1.80","","","","",""
"2371275858","1","14","Nova Fitness","SDS011","12008","2018-11-25 14:16:13","null","5045064810","P1","17.43","6063","LU","175.8","6.3620","49.5860"
"","","","","","","","","5045064811","P2","11.00","","","","",""
"2371275935","1","14","Nova Fitness","SDS011","12725","2018-11-25 14:16:14","null","5045064973","P1","8.83","6427","LU","244.1","6.1060","49.7540"
"","","","","","","","","5045064976","P2","6.10","","","","",""
"2371275979","7","9","various","DHT22","12726","2018-11-25 14:16:14","null","5045065066","humidity","91.90","6427","LU","244.1","6.1060","49.7540"
"","","","","","","","","5045065065","temperature","8.70","","","","",""
"2371276253","7","9","various","DHT22","12009","2018-11-25 14:16:17","null","5045065644","humidity","99.90","6063","LU","175.8","6.3620","49.5860"
"","","","","","","","","5045065642","temperature","8.50","","","","",""
"2371277288","1","14","Nova Fitness","SDS011","12910","2018-11-25 14:16:33","null","5045067864","P1","10.77","6523","LU","241.1","6.1200","49.7580"
"","","","","","","","","5045067865","P2","8.27","","","","",""
"2371277307","7","9","various","DHT22","12911","2018-11-25 14:16:34","null","5045067908","humidity","99.90","6523","LU","241.1","6.1200","49.7580"
"","","","","","","","","5045067907","temperature","6.90","","","","",""
"2371278910","1","14","Nova Fitness","SDS011","13847","2018-11-25 14:16:55","null","5045071247","P1","9.77","6994","LU","231.8","6.0940","49.7520"
