"id","timestamp","location__longitude","location__country","location__latitude","location__id","location__altitude","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sampling_rate","sensor__pin","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__id"
"2377908616","2018-11-26 14:15:10","6.1160","LU","49.6020","5461","272.2","90.60","humidity","5059021471","null","7","DHT22","9","various","10818"
"","","","","","","","8.70","temperature","5059021468","","","","","",""
"2377909983","2018-11-26 14:15:20","6.1200","LU","49.7580","6523","241.1","17.17","P1","5059024365","null","1","SDS011","14","Nova Fitness","12910"
"","","","","","","","11.23","P2","5059024367","","","","","",""
"2377909995","2018-11-26 14:15:20","6.0040","LU","49.8260","7208","361.3","27.90","P1","5059024393","null","1","SDS011","14","Nova Fitness","14247"
"","","","","","","","16.33","P2","5059024395","","","","","",""
"2377910031","2018-11-26 14:15:20","6.1200","LU","49.7580","6523","241.1","99.90","humidity","5059024471","null","7","DHT22","9","various","12911"
"","","","","","","","6.80","temperature","5059024470","","","","","",""
"2377910087","2018-11-26 14:15:21","6.0040","LU","49.8260","7208","361.3","99.90","humidity","5059024587","null","7","DHT22","9","various","14248"
"","","","","","","","6.00","temperature","5059024586","","","","","",""
"2377911361","2018-11-26 14:15:31","6.1200","LU","49.7580","4031","240.6","10.90","P1","5059027296","null","1","SDS011","14","Nova Fitness","7971"
"","","","","","","","8.23","P2","5059027297","","","","","",""
"2377911429","2018-11-26 14:15:32","6.1200","LU","49.7580","4031","240.6","99.90","humidity","5059027437","null","7","DHT22","9","various","7972"
"","","","","","","","7.00","temperature","5059027436","","","","","",""
"2377911547","2018-11-26 14:15:32","6.1400","LU","49.5920","4740","287.7","9.93","P1","5059027680","null","1","SDS011","14","Nova Fitness","9400"
"","","","","","","","8.93","P2","5059027681","","","","","",""
"2377911641","2018-11-26 14:15:33","6.1400","LU","49.5920","4740","287.7","66.20","humidity","5059027880","null","7","DHT22","9","various","9401"
"","","","","","","","7.60","temperature","5059027879","","","","","",""
"2377911960","2018-11-26 14:15:35","6.1980","LU","49.5420","6626","265.7","34.83","P1","5059028544","null","1","SDS011","14","Nova Fitness","13120"
"","","","","","","","32.00","P2","5059028547","","","","","",""
"2377912067","2018-11-26 14:15:36","6.1980","LU","49.5420","6626","265.7","99.90","humidity","5059028774","null","7","DHT22","9","various","13121"
"","","","","","","","7.50","temperature","5059028772","","","","","",""
"2377912776","2018-11-26 14:15:41","6.0820","LU","49.7440","9298","225.6","18.73","P1","5059030259","null","1","SDS011","14","Nova Fitness","18342"
"","","","","","","","13.68","P2","5059030260","","","","","",""
"2377912828","2018-11-26 14:15:41","6.0820","LU","49.7440","9298","225.6","91.10","humidity","5059030370","null","7","DHT22","9","various","18343"
"","","","","","","","7.60","temperature","5059030368","","","","","",""
"2377913265","2018-11-26 14:15:44","6.1140","LU","49.8580","8468","201.1","2.47","P1","5059031290","null","1","SDS011","14","Nova Fitness","16703"
"","","","","","","","2.37","P2","5059031291","","","","","",""
"2377913970","2018-11-26 14:15:51","6.3620","LU","49.5860","6063","175.8","13.17","P1","5059032789","null","1","SDS011","14","Nova Fitness","12008"
"","","","","","","","7.73","P2","5059032790","","","","","",""
"2377914033","2018-11-26 14:15:52","6.3620","LU","49.5860","6063","175.8","99.90","humidity","5059032919","null","7","DHT22","9","various","12009"
