"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","timestamp","sampling_rate","id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__id","location__id","location__altitude","location__longitude","location__country","location__latitude"
"P1","0.00","5073663308","2018-11-27 15:15:54","null","2384872806","1","14","SDS011","Nova Fitness","13281","6709","225.2","6.1160","LU","49.7560"
"P2","0.00","5073663309","","","","","","","","","","","","",""
"humidity","56.10","5073663360","2018-11-27 15:15:54","null","2384872831","7","9","DHT22","various","13282","6709","225.2","6.1160","LU","49.7560"
"temperature","17.40","5073663359","","","","","","","","","","","","",""
"P1","28.43","5073663612","2018-11-27 15:15:57","null","2384872952","1","14","SDS011","Nova Fitness","12699","6414","328.9","6.0600","LU","49.5700"
"P2","12.30","5073663613","","","","","","","","","","","","",""
"humidity","99.90","5073663654","2018-11-27 15:15:57","null","2384872971","7","9","DHT22","various","12700","6414","328.9","6.0600","LU","49.5700"
"temperature","4.80","5073663653","","","","","","","","","","","","",""
"P1","28.33","5073664467","2018-11-27 15:16:03","null","2384873354","1","14","SDS011","Nova Fitness","12886","6511","229.9","6.0940","LU","49.7460"
"P2","15.77","5073664471","","","","","","","","","","","","",""
"humidity","99.90","5073664516","2018-11-27 15:16:04","null","2384873376","7","9","DHT22","various","12887","6511","229.9","6.0940","LU","49.7460"
"temperature","6.00","5073664513","","","","","","","","","","","","",""
"P1","4.73","5073665521","2018-11-27 15:16:12","null","2384873853","1","14","SDS011","Nova Fitness","16703","8468","201.1","6.1140","LU","49.8580"
"P2","4.43","5073665522","","","","","","","","","","","","",""
"P1","24.17","5073665560","2018-11-27 15:16:12","null","2384873872","1","14","SDS011","Nova Fitness","12760","6444","225.5","6.1140","LU","49.7420"
"P2","13.43","5073665562","","","","","","","","","","","","",""
"humidity","99.90","5073665605","2018-11-27 15:16:12","null","2384873893","7","9","DHT22","various","12761","6444","225.5","6.1140","LU","49.7420"
"temperature","5.40","5073665604","","","","","","","","","","","","",""
"humidity","99.90","5073667671","2018-11-27 15:16:31","null","2384874870","7","9","DHT22","various","12115","6121","165.9","6.4180","LU","49.8100"
"temperature","7.60","5073667670","","","","","","","","","","","","",""
"P1","19.75","5073669962","2018-11-27 15:16:50","null","2384875969","1","14","SDS011","Nova Fitness","13847","6994","231.8","6.0940","LU","49.7520"
"P2","13.38","5073669964","","","","","","","","","","","","",""
"humidity","93.10","5073670014","2018-11-27 15:16:51","null","2384875992","7","9","DHT22","various","13848","6994","231.8","6.0940","LU","49.7520"
"temperature","8.20","5073670013","","","","","","","","","","","","",""
"humidity","99.90","5073670673","2018-11-27 15:16:56","null","2384876310","7","9","DHT22","various","10818","5461","272.2","6.1160","LU","49.6020"
"temperature","6.10","5073670671","","","","","","","","","","","","",""
"P1","24.1","5073672159","2018-11-27 15:17:09","null","2384877008","1","14","SDS011","Nova Fitness","13317","6728","303.6","6.1280","LU","49.7560"
"P2","13.8","5073672158","","","","","","","","","","","","",""
"humidity","79.3","5073672197","2018-11-27 15:17:09","null","2384877026","11","17","BME280","Bosch","13318","6728","303.6","6.1280","LU","49.7560"
"pressure","0","5073672195","","","","","","","","","","","","",""
"temperature","5.5","5073672196","","","","","","","","","","","","",""
"pressure_at_sealevel","0","","","","","","","","","","","","","",""
"P1","23.83","5073672410","2018-11-27 15:17:11","null","2384877127","1","14","SDS011","Nova Fitness","18342","9298","225.6","6.0820","LU","49.7440"
"P2","13.60","5073672411","","","","","","","","","","","","",""
"humidity","93.60","5073672463","2018-11-27 15:17:11","null","2384877152","7","9","DHT22","various","18343","9298","225.6","6.0820","LU","49.7440"
"temperature","6.60","5073672462","","","","","","","","","","","","",""
"P1","20.90","5073672981","2018-11-27 15:17:16","null","2384877400","1","14","SDS011","Nova Fitness","9400","4740","287.7","6.1400","LU","49.5920"
"P2","15.37","5073672982","","","","","","","","","","","","",""
"humidity","83.70","5073673053","2018-11-27 15:17:16","null","2384877434","7","9","DHT22","various","9401","4740","287.7","6.1400","LU","49.5920"
"temperature","5.60","5073673051","","","","","","","","","","","","",""
"P1","15.93","5073675027","2018-11-27 15:17:33","null","2384878372","1","14","SDS011","Nova Fitness","13112","6622","240.9","6.1000","LU","49.7520"
"P2","10.17","5073675029","","","","","","","","","","","","",""
"humidity","99.90","5073675096","2018-11-27 15:17:33","null","2384878405","7","9","DHT22","various","13113","6622","240.9","6.1000","LU","49.7520"
"temperature","6.30","5073675092","","","","","","","","","","","","",""
"P1","31.13","5073678791","2018-11-27 15:17:45","null","2384880161","1","14","SDS011","Nova Fitness","14247","7208","361.3","6.0040","LU","49.8260"
"P2","20.63","5073678792","","","","","","","","","","","","",""
"humidity","99.90","5073679031","2018-11-27 15:17:46","null","2384880273","7","9","DHT22","various","14248","7208","361.3","6.0040","LU","49.8260"
"temperature","4.30","5073679030","","","","","","","","","","","","",""
"P1","17.07","5073679422","2018-11-27 15:17:47","null","2384880462","1","14","SDS011","Nova Fitness","7971","4031","240.6","6.1200","LU","49.7580"
"P2","11.10","5073679423","","","","","","","","","","","","",""
"humidity","99.90","5073679639","2018-11-27 15:17:47","null","2384880567","7","9","DHT22","various","7972","4031","240.6","6.1200","LU","49.7580"
"temperature","5.00","5073679637","","","","","","","","","","","","",""
"P1","26.10","5073682563","2018-11-27 15:17:57","null","2384881966","1","14","SDS011","Nova Fitness","12910","6523","241.1","6.1200","LU","49.7580"
"P2","13.40","5073682565","","","","","","","","","","","","",""
"humidity","99.90","5073682633","2018-11-27 15:17:57","null","2384881999","7","9","DHT22","various","12911","6523","241.1","6.1200","LU","49.7580"
"temperature","5.10","5073682632","","","","","","","","","","","","",""
"P1","34.13","5073682831","2018-11-27 15:17:58","null","2384882094","1","14","SDS011","Nova Fitness","13120","6626","265.7","6.1980","LU","49.5420"
"P2","31.60","5073682834","","","","","","","","","","","","",""
"humidity","99.90","5073683002","2018-11-27 15:17:59","null","2384882175","7","9","DHT22","various","13121","6626","265.7","6.1980","LU","49.5420"
"temperature","6.20","5073683001","","","","","","","","","","","","",""
"P1","17.57","5073684049","2018-11-27 15:18:04","null","2384882677","1","14","SDS011","Nova Fitness","12008","6063","175.8","6.3620","LU","49.5860"
"P2","11.17","5073684050","","","","","","","","","","","","",""
"humidity","99.90","5073684366","2018-11-27 15:18:05","null","2384882825","7","9","DHT22","various","12009","6063","175.8","6.3620","LU","49.5860"
"temperature","5.40","5073684357","","","","","","","","","","","","",""
"P1","21.47","5073686795","2018-11-27 15:18:15","null","2384883974","1","14","SDS011","Nova Fitness","12725","6427","244.1","6.1060","LU","49.7540"
"P2","12.10","5073686796","","","","","","","","","","","","",""
"humidity","79.20","5073686867","2018-11-27 15:18:15","null","2384884004","7","9","DHT22","various","12726","6427","244.1","6.1060","LU","49.7540"
"temperature","8.10","5073686864","","","","","","","","","","","","",""
"P1","0.00","5073687713","2018-11-27 15:18:21","null","2384884403","1","14","SDS011","Nova Fitness","13281","6709","225.2","6.1160","LU","49.7560"
"P2","0.00","5073687714","","","","","","","","","","","","",""
"humidity","56.20","5073687764","2018-11-27 15:18:21","null","2384884428","7","9","DHT22","various","13282","6709","225.2","6.1160","LU","49.7560"
"temperature","17.30","5073687763","","","","","","","","","","","","",""
"P1","28.50","5073688949","2018-11-27 15:18:31","null","2384884990","1","14","SDS011","Nova Fitness","12886","6511","229.9","6.0940","LU","49.7460"
"P2","17.37","5073688950","","","","","","","","","","","","",""
"humidity","99.90","5073689003","2018-11-27 15:18:31","null","2384885015","7","9","DHT22","various","12887","6511","229.9","6.0940","LU","49.7460"
"temperature","5.90","5073689001","","","","","","","","","","","","",""
