"sampling_rate","id","sensor__pin","sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","location__country","location__latitude","location__id","location__altitude","location__longitude","timestamp"
"null","2392003257","1","13317","Nova Fitness","14","SDS011","16.3","P1","5088659061","LU","49.7560","6728","303.6","6.1280","2018-11-28 16:47:09"
"","","","","","","","8.8","P2","5088659060","","","","","",""
"null","2392003284","11","13318","Bosch","17","BME280","99.9","humidity","5088659118","LU","49.7560","6728","303.6","6.1280","2018-11-28 16:47:10"
"","","","","","","","0","pressure","5088659116","","","","","",""
"","","","","","","","5.4","temperature","5088659117","","","","","",""
"","","","","","","","0","pressure_at_sealevel","","","","","","",""
"null","2392003346","1","12886","Nova Fitness","14","SDS011","11.87","P1","5088659245","LU","49.7460","6511","229.9","6.0940","2018-11-28 16:47:11"
"","","","","","","","6.10","P2","5088659246","","","","","",""
"null","2392003360","7","12887","various","9","DHT22","99.90","humidity","5088659275","LU","49.7460","6511","229.9","6.0940","2018-11-28 16:47:11"
"","","","","","","","5.00","temperature","5088659274","","","","","",""
"null","2392003472","1","12910","Nova Fitness","14","SDS011","5.83","P1","5088659512","LU","49.7580","6523","241.1","6.1200","2018-11-28 16:47:13"
"","","","","","","","4.53","P2","5088659513","","","","","",""
"null","2392003496","7","12911","various","9","DHT22","99.90","humidity","5088659562","LU","49.7580","6523","241.1","6.1200","2018-11-28 16:47:13"
"","","","","","","","5.40","temperature","5088659561","","","","","",""
"null","2392004138","1","7971","Nova Fitness","14","SDS011","3.92","P1","5088660900","LU","49.7580","4031","240.6","6.1200","2018-11-28 16:47:24"
"","","","","","","","3.15","P2","5088660901","","","","","",""
"null","2392004166","7","7972","various","9","DHT22","99.90","humidity","5088660963","LU","49.7580","4031","240.6","6.1200","2018-11-28 16:47:25"
"","","","","","","","5.20","temperature","5088660961","","","","","",""
"null","2392005896","1","13112","Nova Fitness","14","SDS011","7.37","P1","5088664596","LU","49.7520","6622","240.9","6.1000","2018-11-28 16:47:42"
"","","","","","","","5.12","P2","5088664598","","","","","",""
"null","2392005975","7","13113","various","9","DHT22","99.90","humidity","5088664759","LU","49.7520","6622","240.9","6.1000","2018-11-28 16:47:43"
"","","","","","","","6.00","temperature","5088664758","","","","","",""
"null","2392007990","1","13120","Nova Fitness","14","SDS011","51.87","P1","5088668979","LU","49.5420","6626","265.7","6.1980","2018-11-28 16:47:56"
"","","","","","","","46.97","P2","5088668980","","","","","",""
"null","2392008019","1","12008","Nova Fitness","14","SDS011","31.50","P1","5088669042","LU","49.5860","6063","175.8","6.3620","2018-11-28 16:47:56"
"","","","","","","","15.63","P2","5088669043","","","","","",""
"null","2392008069","1","18342","Nova Fitness","14","SDS011","8.10","P1","5088669147","LU","49.7440","9298","225.6","6.0820","2018-11-28 16:47:56"
"","","","","","","","5.10","P2","5088669151","","","","","",""
"null","2392008100","7","13121","various","9","DHT22","99.90","humidity","5088669214","LU","49.5420","6626","265.7","6.1980","2018-11-28 16:47:56"
"","","","","","","","5.80","temperature","5088669211","","","","","",""
"null","2392008107","7","12009","various","9","DHT22","99.90","humidity","5088669228","LU","49.5860","6063","175.8","6.3620","2018-11-28 16:47:57"
"","","","","","","","5.20","temperature","5088669227","","","","","",""
"null","2392008113","7","18343","various","9","DHT22","99.90","humidity","5088669240","LU","49.7440","9298","225.6","6.0820","2018-11-28 16:47:57"
"","","","","","","","6.20","temperature","5088669238","","","","","",""
"null","2392008364","7","10818","various","9","DHT22","99.90","humidity","5088669776","LU","49.6020","5461","272.2","6.1160","2018-11-28 16:47:59"
"","","","","","","","5.60","temperature","5088669775","","","","","",""
"null","2392009672","1","14247","Nova Fitness","14","SDS011","46.23","P1","5088672532","LU","49.8260","7208","361.3","6.0040","2018-11-28 16:48:11"
"","","","","","","","17.43","P2","5088672533","","","","","",""
"null","2392009756","7","14248","various","9","DHT22","99.90","humidity","5088672711","LU","49.8260","7208","361.3","6.0040","2018-11-28 16:48:11"
"","","","","","","","4.80","temperature","5088672710","","","","","",""
"null","2392010598","1","12725","Nova Fitness","14","SDS011","9.27","P1","5088674469","LU","49.7540","6427","244.1","6.1060","2018-11-28 16:48:21"
"","","","","","","","5.90","P2","5088674470","","","","","",""
"null","2392010633","7","12726","various","9","DHT22","95.00","humidity","5088674542","LU","49.7540","6427","244.1","6.1060","2018-11-28 16:48:21"
"","","","","","","","7.10","temperature","5088674541","","","","","",""
"null","2392010744","1","12114","Nova Fitness","14","SDS011","17.53","P1","5088674780","LU","49.8100","6121","165.9","6.4180","2018-11-28 16:48:22"
"","","","","","","","15.67","P2","5088674782","","","","","",""
"null","2392010806","7","12115","various","9","DHT22","99.90","humidity","5088674928","LU","49.8100","6121","165.9","6.4180","2018-11-28 16:48:23"
