"id","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","location__longitude","location__country","location__latitude","location__altitude","location__id","timestamp","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensor__pin","sampling_rate"
"2397601489","5100430040","humidity","99.90","6.4180","LU","49.8100","165.9","6121","2018-11-29 12:44:52","various","DHT22","9","12115","7","null"
"","5100430039","temperature","10.50","","","","","","","","","","","",""
"2397603214","5100433641","P1","1.72","6.1140","LU","49.8580","201.1","8468","2018-11-29 12:45:10","Nova Fitness","SDS011","14","16703","1","null"
"","5100433645","P2","1.70","","","","","","","","","","","",""
"2397605460","5100438410","P1","6.23","6.1000","LU","49.7520","240.9","6622","2018-11-29 12:45:24","Nova Fitness","SDS011","14","13112","1","null"
"","5100438412","P2","4.77","","","","","","","","","","","",""
"2397605490","5100438477","humidity","99.90","6.1000","LU","49.7520","240.9","6622","2018-11-29 12:45:24","various","DHT22","9","13113","7","null"
"","5100438476","temperature","9.00","","","","","","","","","","","",""
"2397605646","5100438809","humidity","99.90","6.1160","LU","49.6020","272.2","5461","2018-11-29 12:45:26","various","DHT22","9","10818","7","null"
"","5100438808","temperature","8.50","","","","","","","","","","","",""
"2397605743","5100439015","P1","4.90","6.1200","LU","49.7580","240.6","4031","2018-11-29 12:45:27","Nova Fitness","SDS011","14","7971","1","null"
"","5100439017","P2","4.27","","","","","","","","","","","",""
"2397605827","5100439193","humidity","99.90","6.1200","LU","49.7580","240.6","4031","2018-11-29 12:45:27","various","DHT22","9","7972","7","null"
"","5100439191","temperature","9.20","","","","","","","","","","","",""
"2397605846","5100439235","P1","12.87","6.3620","LU","49.5860","175.8","6063","2018-11-29 12:45:27","Nova Fitness","SDS011","14","12008","1","null"
"","5100439237","P2","7.80","","","","","","","","","","","",""
"2397605922","5100439396","humidity","99.90","6.3620","LU","49.5860","175.8","6063","2018-11-29 12:45:28","various","DHT22","9","12009","7","null"
"","5100439395","temperature","9.10","","","","","","","","","","","",""
"2397606075","5100439724","P1","7.80","6.1060","LU","49.7540","244.1","6427","2018-11-29 12:45:29","Nova Fitness","SDS011","14","12725","1","null"
"","5100439725","P2","5.53","","","","","","","","","","","",""
"2397606119","5100439818","humidity","82.30","6.1060","LU","49.7540","244.1","6427","2018-11-29 12:45:30","various","DHT22","9","12726","7","null"
"","5100439817","temperature","10.00","","","","","","","","","","","",""
"2397606314","5100440233","P1","7.07","6.0940","LU","49.7520","231.8","6994","2018-11-29 12:45:32","Nova Fitness","SDS011","14","13847","1","null"
"","5100440234","P2","6.37","","","","","","","","","","","",""
"2397606349","5100440305","humidity","96.80","6.0940","LU","49.7520","231.8","6994","2018-11-29 12:45:32","various","DHT22","9","13848","7","null"
"","5100440304","temperature","9.90","","","","","","","","","","","",""
"2397608259","5100444309","P1","9.40","6.0820","LU","49.7440","225.6","9298","2018-11-29 12:45:55","Nova Fitness","SDS011","14","18342","1","null"
"","5100444310","P2","6.20","","","","","","","","","","","",""
"2397608280","5100444352","humidity","94.70","6.0820","LU","49.7440","225.6","9298","2018-11-29 12:45:55","various","DHT22","9","18343","7","null"
"","5100444351","temperature","9.40","","","","","","","","","","","",""
"2397608685","5100445203","P1","8.27","6.0940","LU","49.7460","229.9","6511","2018-11-29 12:46:03","Nova Fitness","SDS011","14","12886","1","null"
"","5100445205","P2","6.23","","","","","","","","","","","",""
"2397608713","5100445263","humidity","99.90","6.0940","LU","49.7460","229.9","6511","2018-11-29 12:46:03","various","DHT22","9","12887","7","null"
"","5100445262","temperature","8.90","","","","","","","","","","","",""
"2397609296","5100446484","P1","13.83","6.0600","LU","49.5700","328.9","6414","2018-11-29 12:46:13","Nova Fitness","SDS011","14","12699","1","null"
"","5100446485","P2","6.60","","","","","","","","","","","",""
"2397609320","5100446534","humidity","99.90","6.0600","LU","49.5700","328.9","6414","2018-11-29 12:46:13","various","DHT22","9","12700","7","null"
"","5100446533","temperature","7.40","","","","","","","","","","","",""
"2397609346","5100446586","P1","35.57","6.1980","LU","49.5420","265.7","6626","2018-11-29 12:46:14","Nova Fitness","SDS011","14","13120","1","null"
"","5100446588","P2","32.90","","","","","","","","","","","",""
"2397609397","5100446699","humidity","99.90","6.1980","LU","49.5420","265.7","6626","2018-11-29 12:46:15","various","DHT22","9","13121","7","null"
"","5100446698","temperature","8.40","","","","","","","","","","","",""
"2397610459","5100448928","P1","10.17","6.0040","LU","49.8260","361.3","7208","2018-11-29 12:46:32","Nova Fitness","SDS011","14","14247","1","null"
"","5100448929","P2","9.27","","","","","","","","","","","",""
"2397610515","5100449043","humidity","99.90","6.0040","LU","49.8260","361.3","7208","2018-11-29 12:46:32","various","DHT22","9","14248","7","null"
"","5100449042","temperature","7.90","","","","","","","","","","","",""
"2397611351","5100450785","P1","9.23","6.1140","LU","49.7420","225.5","6444","2018-11-29 12:46:46","Nova Fitness","SDS011","14","12760","1","null"
"","5100450786","P2","7.40","","","","","","","","","","","",""
"2397611366","5100450817","humidity","99.90","6.1140","LU","49.7420","225.5","6444","2018-11-29 12:46:47","various","DHT22","9","12761","7","null"
"","5100450816","temperature","9.00","","","","","","","","","","","",""
"2397611429","5100450947","P1","5.87","6.1200","LU","49.7580","241.1","6523","2018-11-29 12:46:47","Nova Fitness","SDS011","14","12910","1","null"
"","5100450948","P2","5.23","","","","","","","","","","","",""
"2397611450","5100450995","humidity","99.90","6.1200","LU","49.7580","241.1","6523","2018-11-29 12:46:48","various","DHT22","9","12911","7","null"
"","5100450992","temperature","9.00","","","","","","","","","","","",""
"2397612229","5100452621","P1","0.00","6.1160","LU","49.7560","225.2","6709","2018-11-29 12:47:02","Nova Fitness","SDS011","14","13281","1","null"
"","5100452622","P2","0.00","","","","","","","","","","","",""
"2397612275","5100452718","humidity","58.50","6.1160","LU","49.7560","225.2","6709","2018-11-29 12:47:02","various","DHT22","9","13282","7","null"
"","5100452717","temperature","17.10","","","","","","","","","","","",""
"2397612617","5100453444","P1","13.3","6.1280","LU","49.7560","303.6","6728","2018-11-29 12:47:09","Nova Fitness","SDS011","14","13317","1","null"
"","5100453443","P2","6.5","","","","","","","","","","","",""
"2397612646","5100453507","humidity","86.9","6.1280","LU","49.7560","303.6","6728","2018-11-29 12:47:09","Bosch","BME280","17","13318","11","null"
"","5100453505","pressure","0","","","","","","","","","","","",""
"","5100453506","temperature","8.6","","","","","","","","","","","",""
"","","pressure_at_sealevel","0","","","","","","","","","","","",""
"2397613311","5100454924","P1","11.80","6.4180","LU","49.8100","165.9","6121","2018-11-29 12:47:22","Nova Fitness","SDS011","14","12114","1","null"
"","5100454925","P2","10.60","","","","","","","","","","","",""
"2397613357","5100455025","humidity","99.90","6.4180","LU","49.8100","165.9","6121","2018-11-29 12:47:23","various","DHT22","9","12115","7","null"
"","5100455024","temperature","10.60","","","","","","","","","","","",""
"2397613836","5100456036","humidity","89.20","6.1400","LU","49.5920","287.7","4740","2018-11-29 12:47:31","various","DHT22","9","9401","7","null"
"","5100456034","temperature","8.40","","","","","","","","","","","",""
"2397615073","5100458610","P1","1.80","6.1140","LU","49.8580","201.1","8468","2018-11-29 12:47:39","Nova Fitness","SDS011","14","16703","1","null"
"","5100458615","P2","1.70","","","","","","","","","","","",""
"2397616981","5100462637","P1","6.33","6.1000","LU","49.7520","240.9","6622","2018-11-29 12:47:51","Nova Fitness","SDS011","14","13112","1","null"
"","5100462638","P2","4.67","","","","","","","","","","","",""
"2397617024","5100462727","humidity","99.90","6.1000","LU","49.7520","240.9","6622","2018-11-29 12:47:51","various","DHT22","9","13113","7","null"
"","5100462726","temperature","9.10","","","","","","","","","","","",""
"2397617236","5100463167","humidity","99.90","6.1160","LU","49.6020","272.2","5461","2018-11-29 12:47:53","various","DHT22","9","10818","7","null"
"","5100463166","temperature","8.50","","","","","","","","","","","",""
"2397617387","5100463484","P1","5.07","6.1200","LU","49.7580","240.6","4031","2018-11-29 12:47:54","Nova Fitness","SDS011","14","7971","1","null"
"","5100463485","P2","4.40","","","","","","","","","","","",""
"2397617465","5100463649","humidity","99.90","6.1200","LU","49.7580","240.6","4031","2018-11-29 12:47:55","various","DHT22","9","7972","7","null"
"","5100463648","temperature","9.30","","","","","","","","","","","",""
"2397617524","5100463769","P1","9.30","6.3620","LU","49.5860","175.8","6063","2018-11-29 12:47:55","Nova Fitness","SDS011","14","12008","1","null"
"","5100463771","P2","7.30","","","","","","","","","","","",""
"2397617606","5100463942","humidity","99.90","6.3620","LU","49.5860","175.8","6063","2018-11-29 12:47:56","various","DHT22","9","12009","7","null"
"","5100463941","temperature","9.20","","","","","","","","","","","",""
"2397617839","5100464436","P1","9.07","6.1060","LU","49.7540","244.1","6427","2018-11-29 12:47:58","Nova Fitness","SDS011","14","12725","1","null"
"","5100464439","P2","6.33","","","","","","","","","","","",""
"2397617879","5100464526","humidity","83.30","6.1060","LU","49.7540","244.1","6427","2018-11-29 12:47:58","various","DHT22","9","12726","7","null"
"","5100464525","temperature","10.00","","","","","","","","","","","",""
"2397618052","5100464895","P1","6.37","6.0940","LU","49.7520","231.8","6994","2018-11-29 12:48:00","Nova Fitness","SDS011","14","13847","1","null"
"","5100464896","P2","5.43","","","","","","","","","","","",""
"2397618084","5100464963","humidity","95.40","6.0940","LU","49.7520","231.8","6994","2018-11-29 12:48:00","various","DHT22","9","13848","7","null"
"","5100464961","temperature","10.30","","","","","","","","","","","",""
"2397619913","5100468825","P1","7.53","6.0820","LU","49.7440","225.6","9298","2018-11-29 12:48:22","Nova Fitness","SDS011","14","18342","1","null"
"","5100468826","P2","5.97","","","","","","","","","","","",""
"2397619940","5100468882","humidity","94.90","6.0820","LU","49.7440","225.6","9298","2018-11-29 12:48:22","various","DHT22","9","18343","7","null"
"","5100468881","temperature","9.60","","","","","","","","","","","",""
"2397620380","5100469812","P1","10.37","6.0940","LU","49.7460","229.9","6511","2018-11-29 12:48:29","Nova Fitness","SDS011","14","12886","1","null"
"","5100469813","P2","6.77","","","","","","","","","","","",""
"2397620399","5100469853","humidity","99.90","6.0940","LU","49.7460","229.9","6511","2018-11-29 12:48:30","various","DHT22","9","12887","7","null"
"","5100469852","temperature","9.00","","","","","","","","","","","",""
"2397621098","5100471310","P1","38.70","6.1980","LU","49.5420","265.7","6626","2018-11-29 12:48:42","Nova Fitness","SDS011","14","13120","1","null"
"","5100471311","P2","35.80","","","","","","","","","","","",""
"2397621167","5100471454","humidity","99.90","6.1980","LU","49.5420","265.7","6626","2018-11-29 12:48:43","various","DHT22","9","13121","7","null"
"","5100471453","temperature","8.40","","","","","","","","","","","",""
"2397622093","5100473379","P1","10.97","6.0600","LU","49.5700","328.9","6414","2018-11-29 12:48:58","Nova Fitness","SDS011","14","12699","1","null"
"","5100473380","P2","6.70","","","","","","","","","","","",""
"2397622122","5100473440","humidity","99.90","6.0600","LU","49.5700","328.9","6414","2018-11-29 12:48:59","various","DHT22","9","12700","7","null"
"","5100473439","temperature","7.40","","","","","","","","","","","",""
"2397622188","5100473577","P1","8.83","6.0040","LU","49.8260","361.3","7208","2018-11-29 12:48:59","Nova Fitness","SDS011","14","14247","1","null"
"","5100473578","P2","8.03","","","","","","","","","","","",""
"2397622228","5100473660","humidity","99.90","6.0040","LU","49.8260","361.3","7208","2018-11-29 12:49:00","various","DHT22","9","14248","7","null"
"","5100473659","temperature","8.00","","","","","","","","","","","",""
"2397623020","5100475329","P1","9.15","6.1140","LU","49.7420","225.5","6444","2018-11-29 12:49:13","Nova Fitness","SDS011","14","12760","1","null"
"","5100475330","P2","6.85","","","","","","","","","","","",""
