"location__latitude","location__id","location__country","location__longitude","location__altitude","timestamp","id","sampling_rate","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sensor__id","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin"
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:47:53","2404373859","null","P1","5114675216","15.07","12910","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114675217","4.80","","","","",""
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:47:54","2404373889","null","humidity","5114675279","99.90","12911","9","DHT22","various","7"
"","","","","","","","","temperature","5114675278","10.50","","","","",""
"49.5700","6414","LU","6.0600","328.9","2018-11-30 12:48:14","2404375489","null","P1","5114678672","4.83","12699","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114678675","2.30","","","","",""
"49.5700","6414","LU","6.0600","328.9","2018-11-30 12:48:14","2404375530","null","humidity","5114678760","99.90","12700","9","DHT22","various","7"
"","","","","","","","","temperature","5114678759","9.60","","","","",""
"49.7540","6427","LU","6.1060","244.1","2018-11-30 12:48:46","2404377944","null","P1","5114683877","11.80","12725","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114683878","2.93","","","","",""
"49.7440","9298","LU","6.0820","225.6","2018-11-30 12:48:46","2404377948","null","P1","5114683885","9.23","18342","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114683886","2.33","","","","",""
"49.7540","6427","LU","6.1060","244.1","2018-11-30 12:48:46","2404377969","null","humidity","5114683931","83.70","12726","9","DHT22","various","7"
"","","","","","","","","temperature","5114683930","12.50","","","","",""
"49.7440","9298","LU","6.0820","225.6","2018-11-30 12:48:46","2404377974","null","humidity","5114683941","96.60","18343","9","DHT22","various","7"
"","","","","","","","","temperature","5114683940","11.20","","","","",""
"49.6020","5461","LU","6.1160","272.2","2018-11-30 12:48:54","2404378324","null","humidity","5114684671","99.90","10818","9","DHT22","various","7"
"","","","","","","","","temperature","5114684670","11.40","","","","",""
"49.8100","6121","LU","6.4180","165.9","2018-11-30 12:49:11","2404379192","null","humidity","5114686508","99.90","12115","9","DHT22","various","7"
"","","","","","","","","temperature","5114686507","13.10","","","","",""
"49.7420","6444","LU","6.1140","225.5","2018-11-30 12:49:12","2404379270","null","P1","5114686669","9.30","12760","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114686670","3.08","","","","",""
"49.7420","6444","LU","6.1140","225.5","2018-11-30 12:49:12","2404379303","null","humidity","5114686739","99.90","12761","9","DHT22","various","7"
"","","","","","","","","temperature","5114686738","10.70","","","","",""
"49.5420","6626","LU","6.1980","265.7","2018-11-30 12:49:35","2404380840","null","P1","5114689962","32.70","13120","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114689964","30.40","","","","",""
"49.7560","6709","LU","6.1160","225.2","2018-11-30 12:49:36","2404380878","null","P1","5114690042","0.00","13281","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114690043","0.00","","","","",""
"49.5420","6626","LU","6.1980","265.7","2018-11-30 12:49:36","2404380901","null","humidity","5114690091","99.90","13121","9","DHT22","various","7"
"","","","","","","","","temperature","5114690090","10.70","","","","",""
"49.7560","6709","LU","6.1160","225.2","2018-11-30 12:49:36","2404380902","null","humidity","5114690093","57.10","13282","9","DHT22","various","7"
"","","","","","","","","temperature","5114690092","17.30","","","","",""
"49.5860","6063","LU","6.3620","175.8","2018-11-30 12:49:38","2404380997","null","P1","5114690290","10.07","12008","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114690291","4.20","","","","",""
"49.5860","6063","LU","6.3620","175.8","2018-11-30 12:49:39","2404381037","null","humidity","5114690377","99.90","12009","9","DHT22","various","7"
"","","","","","","","","temperature","5114690376","11.90","","","","",""
"49.5920","4740","LU","6.1400","287.7","2018-11-30 12:49:47","2404381517","null","P1","5114691363","9.03","9400","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114691365","3.33","","","","",""
"49.5920","4740","LU","6.1400","287.7","2018-11-30 12:49:48","2404381553","null","humidity","5114691441","92.20","9401","9","DHT22","various","7"
"","","","","","","","","temperature","5114691440","10.30","","","","",""
"49.7460","6511","LU","6.0940","229.9","2018-11-30 12:49:49","2404381670","null","P1","5114691680","10.15","12886","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114691681","2.85","","","","",""
"49.7460","6511","LU","6.0940","229.9","2018-11-30 12:49:50","2404381697","null","humidity","5114691735","99.90","12887","9","DHT22","various","7"
"","","","","","","","","temperature","5114691734","10.60","","","","",""
"49.7520","6622","LU","6.1000","240.9","2018-11-30 12:49:53","2404381933","null","P1","5114692222","5.23","13112","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114692224","2.10","","","","",""
"49.7520","6622","LU","6.1000","240.9","2018-11-30 12:49:53","2404381945","null","humidity","5114692253","99.90","13113","9","DHT22","various","7"
"","","","","","","","","temperature","5114692252","10.80","","","","",""
"49.7520","6994","LU","6.0940","231.8","2018-11-30 12:49:55","2404382057","null","P1","5114692492","9.73","13847","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114692493","2.35","","","","",""
"49.7520","6994","LU","6.0940","231.8","2018-11-30 12:49:56","2404382078","null","humidity","5114692538","96.80","13848","9","DHT22","various","7"
"","","","","","","","","temperature","5114692537","12.30","","","","",""
"49.8580","8468","LU","6.1140","201.1","2018-11-30 12:50:08","2404383272","null","P1","5114695003","2.92","16703","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114695006","1.37","","","","",""
"49.8260","7208","LU","6.0040","361.3","2018-11-30 12:50:12","2404383916","null","P1","5114696344","6.17","14247","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114696354","2.00","","","","",""
"49.8260","7208","LU","6.0040","361.3","2018-11-30 12:50:13","2404384147","null","humidity","5114696831","99.90","14248","9","DHT22","various","7"
"","","","","","","","","temperature","5114696826","9.80","","","","",""
"49.7580","4031","LU","6.1200","240.6","2018-11-30 12:50:18","2404385097","null","P1","5114698873","9.10","7971","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114698874","4.07","","","","",""
"49.7580","4031","LU","6.1200","240.6","2018-11-30 12:50:19","2404385162","null","humidity","5114699011","99.90","7972","9","DHT22","various","7"
"","","","","","","","","temperature","5114699010","11.00","","","","",""
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:50:20","2404385309","null","P1","5114699319","12.40","12910","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114699320","3.83","","","","",""
