,X,pm2.5,pm10,temp,humidty,level,AQI
1,1,6.67,11.03,14.8,75.6,verylow,11.11666667
2,2,5.3,9.97,12,99.9,verylow,8.833333333
3,3,4.1,5,14.3,99.9,verylow,6.833333333
4,4,1.615,4.915,16.6,61.4,verylow,2.691666667
5,5,7.85,11.9,13.2,99.9,verylow,13.08333333
6,6,5.6,7.57,13.1,99.9,verylow,9.333333333
7,7,5.93,7.67,13.3,99.9,verylow,9.883333333
8,8,7.1,8.85,13.8,99.9,verylow,11.83333333
9,9,7.47,9.97,14.8,90.4,verylow,12.45
10,10,5.62,7.18,14.4,99.9,verylow,9.366666667
11,11,5.55,6.62,13.4,99.9,verylow,9.25
12,12,4.47,13.57,15.5,99.9,verylow,7.45
13,13,5.55,7.75,14.7,75.8,verylow,9.25
14,14,6.33,8.97,14.3,99.9,verylow,10.55
15,15,6.5,9.53,12,99.9,verylow,10.83333333
16,16,5.1,5.6,16.6,61.5,verylow,8.5
17,17,5.13,8.6,13.3,99.9,verylow,8.55
18,18,7.765,8.8,13,99.9,verylow,12.94166667
19,19,7.68,12.63,13.4,99.9,verylow,12.8
20,20,6.1,12.77,13.9,99.9,verylow,10.16666667
21,21,5.43,6.2,14.8,90.4,verylow,9.05
22,22,6.47,11.02,13.5,78.4,verylow,10.78333333
23,23,7.63,12.07,14.4,99.9,verylow,12.71666667
24,24,5.35,7.45,13.5,99.9,verylow,8.916666667
25,25,5.7,7.9,15.5,99.9,verylow,9.5
26,26,5.55,6.05,14.7,76,verylow,9.25
27,27,4,7.03,14.2,99.9,verylow,6.666666667
28,28,5.1,7.67,13.4,99.9,verylow,8.5
29,29,6.4,7.2,12.5,99.9,verylow,10.66666667
30,30,6,10.53,12,99.9,verylow,10
31,31,4.5,5.03,12.6,99.9,verylow,7.5
32,32,1.3,4.23,18.1,60.5,verylow,2.166666667
33,33,2.7,10.27,12.1,99.9,verylow,4.5
34,34,1.1,4.47,13.8,90.4,verylow,1.833333333
35,35,2,4.67,14.8,99.9,verylow,3.333333333
36,36,6.515,8.1,13.5,99.9,verylow,10.85833333
37,37,1.93,8.23,12.6,99.9,verylow,3.216666667
38,38,3.33,9,13.1,99.9,verylow,5.55
39,39,10.23,14.1,12.5,99.9,verylow,17.05
40,40,0.9,3.72,12.3,99.9,verylow,1.5
41,41,1.4,4.3,13.4,99.9,verylow,2.333333333
42,42,1.2,6.2,12.4,99.9,verylow,2
43,43,2.3,3.9,12.7,99.9,verylow,3.833333333
44,44,1.7,7.77,18.1,60.5,verylow,2.833333333
45,45,1.32,3.75,12.1,99.9,verylow,2.2
46,46,1.43,5.17,13.8,90.4,verylow,2.383333333
47,47,3.28,9.38,12,99.9,verylow,5.466666667
48,48,1.53,5.23,14.8,99.9,verylow,2.55
49,49,3.835,7.21,13.6,99.9,verylow,6.391666667
50,50,1.67,6.67,13,99.9,verylow,2.783333333
51,51,3.47,9.8,12.4,99.9,verylow,5.783333333
